sentence_id	token_id	token	surprisal
1	1	那	10.5927
1	2	家	10.0624
1	3	我	9.22269
1	4	采访	12.674
1	5	过	4.24621
1	6	的	2.0131
1	7	老板	9.83613
1	8	投资	13.3609
1	9	的	9.44492
1	10	饭店	16.1367
1	11	很	10.5266
1	12	受	8.18379
1	13	欢迎	3.04492
1	14	。	1.4345
2	1	那	10.5927
2	2	个	6.11826
2	3	我	7.83824
2	4	采访	13.2601
2	5	过	4.27227
2	6	的	2.14215
2	7	老板	11.8963
2	8	投资	13.5595
2	9	的	9.21098
2	10	饭店	16.7757
2	11	很	10.3722
2	12	受	8.33523
2	13	欢迎	3.206
2	14	。	1.60451
3	1	那	10.5927
3	2	幅	9.73656
3	3	我	10.1109
3	4	介绍	11.7242
3	5	的	0.824754
3	6	朋友	14.3167
3	7	喜欢	10.3255
3	8	的	7.5568
3	9	画	10.4459
3	10	吸引	11.5546
3	11	了	0.457207
3	12	我	6.8372
3	13	。	3.82094
4	1	那	10.5927
4	2	个	6.11826
4	3	我	7.83824
4	4	介绍	12.033
4	5	的	0.773313
4	6	朋友	9.77689
4	7	喜欢	10.0165
4	8	的	9.7897
4	9	画	12.7628
4	10	吸引	12.1949
4	11	了	0.377526
4	12	我	5.03007
4	13	。	3.99841
5	1	那	10.5927
5	2	件	8.27094
5	3	我	8.17798
5	4	喜欢	7.99431
5	5	的	2.36368
5	6	老师	10.5272
5	7	收藏	15.8747
5	8	的	9.57075
5	9	艺术品	16.7448
5	10	获	16.5831
5	11	了	3.3139
5	12	奖	8.13156
5	13	。	0.891116
6	1	那	10.5927
6	2	个	6.11826
6	3	我	7.83824
6	4	喜欢	7.80365
6	5	的	2.37817
6	6	老师	9.63325
6	7	收藏	15.9931
6	8	的	5.49502
6	9	艺术品	11.5446
6	10	获	14.0089
6	11	了	2.63109
6	12	奖	9.16706
6	13	。	0.709485
7	1	那	10.5927
7	2	只	7.59125
7	3	我	10.7571
7	4	认识	12.2742
7	5	的	1.64482
7	6	店长	24.7032
7	7	喜欢	13.7677
7	8	的	4.62039
7	9	宠物	15.1831
7	10	生病	17.6811
7	11	了	2.72023
7	12	。	1.71943
8	1	那	10.5927
8	2	个	6.11826
8	3	我	7.83824
8	4	认识	12.2885
8	5	的	1.57576
8	6	店长	24.8905
8	7	喜欢	14.0124
8	8	的	4.28267
8	9	宠物	15.4323
8	10	生病	17.8681
8	11	了	2.66317
8	12	。	1.81806
9	1	那	10.5927
9	2	首	14.6811
9	3	我	10.4698
9	4	见	12.0006
9	5	过	4.18358
9	6	的	1.53103
9	7	明星	11.4252
9	8	唱	14.2865
9	9	的	9.07068
9	10	歌	10.8336
9	11	很	11.3758
9	12	好听	11.9257
9	13	。	1.4418
10	1	那	10.5927
10	2	个	6.11826
10	3	我	7.83824
10	4	见	12.6533
10	5	过	4.63259
10	6	的	1.17375
10	7	明星	10.9294
10	8	唱	14.0164
10	9	的	8.74424
10	10	歌	11.6965
10	11	很	11.2686
10	12	好听	12.0945
10	13	。	1.86462
11	1	那	10.5927
11	2	所	11.3402
11	3	我	10.0434
11	4	认识	11.4131
11	5	的	2.04556
11	6	老人	12.5659
11	7	去	10.8127
11	8	的	11.0068
11	9	学校	10.2418
11	10	关闭	17.8822
11	11	了	3.1093
11	12	。	3.7549
12	1	那	10.5927
12	2	个	6.11826
12	3	我	7.83824
12	4	认识	12.2885
12	5	的	1.57576
12	6	老人	12.741
12	7	去	10.3244
12	8	的	10.6928
12	9	学校	10.7896
12	10	关闭	17.6368
12	11	了	3.09089
12	12	。	3.95249
13	1	那	10.5927
13	2	件	8.27094
13	3	我	8.17798
13	4	采访	12.8361
13	5	过	5.25265
13	6	的	1.26387
13	7	司机	15.5345
13	8	带	10.3564
13	9	的	6.61104
13	10	行李	14.7128
13	11	丢	17.8659
13	12	了	1.13023
13	13	。	3.35834
14	1	那	10.5927
14	2	个	6.11826
14	3	我	7.83824
14	4	采访	13.2601
14	5	过	4.27227
14	6	的	2.14215
14	7	司机	14.7899
14	8	带	10.3656
14	9	的	6.86896
14	10	行李	15.7005
14	11	丢	17.8988
14	12	了	1.11401
14	13	。	3.40273
15	1	那	10.5927
15	2	本	11.4316
15	3	我	9.31648
15	4	喜欢	7.99106
15	5	的	2.61375
15	6	作家	9.91328
15	7	写	10.6887
15	8	的	8.23603
15	9	书	10.5039
15	10	很	7.94541
15	11	受	10.9043
15	12	欢迎	3.42363
15	13	。	1.71377
16	1	那	10.5927
16	2	个	6.11826
16	3	我	7.83824
16	4	喜欢	7.80365
16	5	的	2.37817
16	6	作家	10.0306
16	7	写	10.6291
16	8	的	8.27485
16	9	书	10.5286
16	10	很	7.93455
16	11	受	10.8836
16	12	欢迎	3.43683
16	13	。	1.81652
17	1	那	10.5927
17	2	辆	9.87368
17	3	我	10.0607
17	4	介绍	12.6077
17	5	的	0.811921
17	6	朋友	11.8569
17	7	开	13.7574
17	8	的	7.81992
17	9	车	8.61494
17	10	坏	18.0314
17	11	了	2.01153
17	12	。	2.21313
18	1	那	10.5927
18	2	个	6.11826
18	3	我	7.83824
18	4	介绍	12.033
18	5	的	0.773313
18	6	朋友	9.77689
18	7	开	14.575
18	8	的	7.62998
18	9	车	10.9012
18	10	坏	17.9439
18	11	了	2.04653
18	12	。	2.62444
19	1	那	10.5927
19	2	份	7.8651
19	3	他	8.66617
19	4	教	14.3738
19	5	的	2.70569
19	6	孩子	10.0837
19	7	做	11.2391
19	8	的	5.27725
19	9	作业	13.9938
19	10	获	15.7653
19	11	了	2.09512
19	12	奖	10.2634
19	13	。	0.518552
20	1	那	10.5927
20	2	个	6.11826
20	3	他	9.03724
20	4	教	12.6764
20	5	的	2.53354
20	6	孩子	6.63993
20	7	做	10.642
20	8	的	8.3348
20	9	作业	16.3633
20	10	获	19.4154
20	11	了	2.49809
20	12	奖	9.56721
20	13	。	1.34346
21	1	那	10.5927
21	2	份	7.8651
21	3	我	9.1001
21	4	采访	12.0519
21	5	过	5.29041
21	6	的	2.06498
21	7	老板	14.5212
21	8	制定	16.2942
21	9	的	4.86437
21	10	合同	9.28892
21	11	到期	17.1299
21	12	了	5.3506
21	13	。	1.2607
22	1	那	10.5927
22	2	个	6.11826
22	3	我	7.83824
22	4	采访	13.2601
22	5	过	4.27227
22	6	的	2.14215
22	7	老板	11.8963
22	8	制定	16.4654
22	9	的	10.7452
22	10	合同	12.7978
22	11	到期	17.873
22	12	了	6.56307
22	13	。	3.67282
23	1	那	10.5927
23	2	间	12.7508
23	3	我	7.27273
23	4	尊敬	14.8757
23	5	的	0.149543
23	6	朋友	6.57079
23	7	开	14.1649
23	8	的	9.2737
23	9	工厂	16.107
23	10	倒闭	18.6548
23	11	了	6.38954
23	12	。	1.6835
24	1	那	10.5927
24	2	个	6.11826
24	3	我	7.83824
24	4	尊敬	14.1397
24	5	的	0.104184
24	6	朋友	5.80378
24	7	开	14.4689
24	8	的	9.18146
24	9	工厂	15.8756
24	10	倒闭	18.7113
24	11	了	6.34542
24	12	。	1.83092
25	1	那	10.5927
25	2	张	10.6257
25	3	我	8.2602
25	4	教	12.1288
25	5	的	2.69435
25	6	孩子	7.55465
25	7	照	14.5557
25	8	的	9.3156
25	9	照片	14.1776
25	10	丢	18.4104
25	11	了	1.98607
25	12	。	3.09108
26	1	那	10.5927
26	2	个	6.11826
26	3	我	7.83824
26	4	教	12.5459
26	5	的	2.32972
26	6	孩子	6.57308
26	7	照	14.6524
26	8	的	9.29949
26	9	照片	14.6897
26	10	丢	18.6878
26	11	了	1.98445
26	12	。	3.52725
27	1	那	10.5927
27	2	台	10.3975
27	3	我们	10.5092
27	4	欣赏	13.6716
27	5	的	1.94263
27	6	老师	13.1631
27	7	用	8.92517
27	8	的	8.3953
27	9	手机	13.2998
27	10	很	10.838
27	11	好用	13.8151
27	12	。	1.55231
28	1	那	10.5927
28	2	个	6.11826
28	3	我们	9.26534
28	4	欣赏	15.0853
28	5	的	1.69816
28	6	老师	11.0484
28	7	用	8.71206
28	8	的	8.17951
28	9	手机	13.1178
28	10	很	10.4985
28	11	好用	14.1503
28	12	。	2.19722
29	1	那	10.5927
29	2	朵	15.8775
29	3	我	9.43608
29	4	关心	9.42381
29	5	的	0.428629
29	6	邻居	11.6184
29	7	种	15.796
29	8	的	10.1645
29	9	花	12.0327
29	10	很	10.1156
29	11	好看	11.156
29	12	。	2.54199
30	1	那	10.5927
30	2	个	6.11826
30	3	我	7.83824
30	4	关心	8.60727
30	5	的	0.430376
30	6	邻居	10.7616
30	7	种	15.4814
30	8	的	9.60635
30	9	花	12.0834
30	10	很	10.481
30	11	好看	12.0162
30	12	。	10.6785
31	1	那	10.5927
31	2	台	10.3975
31	3	我	8.90575
31	4	尊敬	14.0057
31	5	的	0.103996
31	6	科学家	10.7242
31	7	做	11.6362
31	8	的	8.43637
31	9	电视	11.3829
31	10	坏	17.1807
31	11	了	4.09951
31	12	。	1.63351
32	1	那	10.5927
32	2	个	6.11826
32	3	我	7.83824
32	4	尊敬	14.1397
32	5	的	0.104184
32	6	科学家	10.0222
32	7	做	11.0084
32	8	的	8.27618
32	9	电视	11.6585
32	10	坏	16.8772
32	11	了	3.97328
32	12	。	2.1164
33	1	那	10.5927
33	2	栋	10.3343
33	3	他	10.1747
33	4	认识	15.0944
33	5	的	1.53885
33	6	男人	11.1352
33	7	买	11.7225
33	8	的	9.64881
33	9	房子	8.76953
33	10	起火	16.9279
33	11	了	6.98187
33	12	。	1.28664
34	1	那	10.5927
34	2	个	6.11826
34	3	他	9.03724
34	4	认识	13.3221
34	5	的	1.50184
34	6	男人	10.1538
34	7	买	12.5721
34	8	的	9.54673
34	9	房子	9.30843
34	10	起火	17.4831
34	11	了	7.0785
34	12	。	1.61824
35	1	那	10.5927
35	2	条	7.39212
35	3	我	9.32422
35	4	欣赏	14.0525
35	5	的	1.81427
35	6	朋友	11.1271
35	7	给	8.08099
35	8	的	11.6954
35	9	建议	15.1066
35	10	很	10.6503
35	11	真诚	14.2314
35	12	。	0.877981
36	1	那	10.5927
36	2	个	6.11826
36	3	我	7.83824
36	4	欣赏	14.3419
36	5	的	1.47124
36	6	朋友	8.8306
36	7	给	8.18612
36	8	的	11.4251
36	9	建议	14.5804
36	10	很	10.6675
36	11	真诚	14.1843
36	12	。	1.04599
37	1	那	10.5927
37	2	支	8.96282
37	3	我	9.74684
37	4	关心	8.4142
37	5	的	0.516813
37	6	老师	12.4079
37	7	用	8.47693
37	8	的	8.43039
37	9	笔	15.0615
37	10	坏	16.2613
37	11	了	3.20231
37	12	。	3.00228
38	1	那	10.5927
38	2	个	6.11826
38	3	我	7.83824
38	4	关心	8.60727
38	5	的	0.430376
38	6	老师	11.8994
38	7	用	8.78465
38	8	的	8.10894
38	9	笔	15.1355
38	10	坏	16.1561
38	11	了	3.11241
38	12	。	3.43656
39	1	那	10.5927
39	2	只	7.59125
39	3	我	10.7571
39	4	帮助	11.4575
39	5	过	8.34464
39	6	的	1.56485
39	7	女人	8.06591
39	8	丢	17.0302
39	9	的	8.3984
39	10	鞋子	17.1087
39	11	被	11.8313
39	12	找到	11.8386
39	13	了	3.10303
39	14	。	3.16202
40	1	那	10.5927
40	2	个	6.11826
40	3	我	7.83824
40	4	帮助	11.7117
40	5	过	8.3649
40	6	的	1.40901
40	7	女人	7.94164
40	8	丢	17.0858
40	9	的	8.29058
40	10	鞋子	17.2054
40	11	被	11.9141
40	12	找到	11.6171
40	13	了	3.00604
40	14	。	3.33214
41	1	那	10.5927
41	2	条	7.39212
41	3	我	9.32422
41	4	关心	9.19641
41	5	的	0.423691
41	6	邻居	11.5494
41	7	养	15.3459
41	8	的	8.88555
41	9	狗	11.0266
41	10	生病	15.6728
41	11	了	4.44256
41	12	。	1.43635
42	1	那	10.5927
42	2	个	6.11826
42	3	我	7.83824
42	4	关心	8.60727
42	5	的	0.430376
42	6	邻居	10.7616
42	7	养	15.5803
42	8	的	8.80718
42	9	狗	11.5153
42	10	生病	15.6402
42	11	了	4.39462
42	12	。	1.73974
43	1	那	10.5927
43	2	座	8.84893
