sentence_id	token_id	token	surprisal
1	1	随着	8.36069
1	2	人民	9.30934
1	3	选择	14.3723
1	4	的	2.07551
1	5	政府	19.2108
1	6	发展	5.22508
1	7	，	0.250396
1	8	经济	7.6177
1	9	变	14.6449
1	10	好	9.53934
1	11	了	6.33022
1	12	。	2.24682
2	1	随着	8.36069
2	2	人民	9.30934
2	3	选择	14.3723
2	4	的	2.07551
2	5	政府	19.2108
2	6	发展	5.22508
2	7	。	14.7223
3	1	随着	8.36069
3	2	人民	9.30934
3	3	需要	13.9246
3	4	的	0.671516
3	5	互联网	26.4599
3	6	的	2.98785
3	7	出现	7.89952
3	8	，	0.0968204
3	9	生活	11.8571
3	10	质量	6.16857
3	11	提高	7.70978
3	12	了	1.45969
3	13	。	2.83981
4	1	随着	8.36069
4	2	人民	9.30934
4	3	需要	13.9246
4	4	的	0.671516
4	5	互联网	26.4599
4	6	的	2.98785
4	7	出现	7.89952
4	8	。	14.5214
5	1	随着	8.36069
5	2	一阵	19.5003
5	3	司机	19.4216
5	4	播放	16.5704
5	5	的	0.416458
5	6	铃声	16.6178
5	7	，	0.157864
5	8	火车	16.3061
5	9	开	11.7671
5	10	了	1.34185
5	11	。	8.23034
6	1	随着	8.36069
6	2	一阵	19.5003
6	3	司机	19.4216
6	4	播放	16.5704
6	5	的	0.416458
6	6	铃声	16.6178
6	7	。	14.5081
7	1	随着	8.36069
7	2	我	11.5897
7	3	认识	10.7465
7	4	的	3.82034
7	5	他	14.6174
7	6	的	2.50899
7	7	年龄	10.7705
7	8	增长	11.9726
7	9	，	1.14848
7	10	他	4.2436
7	11	更	7.88723
7	12	有	5.16323
7	13	自信	11.3439
7	14	了	9.06296
7	15	。	0.43478
8	1	随着	8.36069
8	2	我	11.5897
8	3	认识	10.7465
8	4	的	3.82034
8	5	他	14.6174
8	6	的	2.50899
8	7	年龄	10.7705
8	8	增长	11.9726
8	9	。	12.43
9	1	随着	8.36069
9	2	我	11.5897
9	3	不	8.93266
9	4	喜欢	6.327
9	5	的	5.90451
9	6	冬天	12.6182
9	7	的	0.648471
9	8	到来	5.04409
9	9	，	0.0265158
9	10	树木	16.8283
9	11	凋零	19.9699
9	12	了	2.72059
9	13	。	4.93668
10	1	随着	8.36069
10	2	我	11.5897
10	3	不	8.93266
10	4	喜欢	6.327
10	5	的	5.90451
10	6	冬天	12.6182
10	7	的	0.648471
10	8	到来	5.04409
10	9	。	14.9092
11	1	随着	8.36069
11	2	人民	9.30934
11	3	需要	13.9246
11	4	的	0.671516
11	5	科技	17.1583
11	6	发展	3.35046
11	7	，	0.578977
11	8	电脑	13.7389
11	9	功能	12.6683
11	10	变得	11.0818
11	11	更	4.89384
11	12	多	4.96018
11	13	了	7.00292
11	14	。	0.765502
12	1	随着	8.36069
12	2	人民	9.30934
12	3	需要	13.9246
12	4	的	0.671516
12	5	科技	17.1583
12	6	发展	3.35046
12	7	。	14.9378
13	1	自从	12.3775
13	2	见	16.7682
13	3	了	7.06332
13	4	我	7.22257
13	5	介绍	14.3335
13	6	的	2.37876
13	7	他	9.3696
13	8	，	8.35049
13	9	她	8.61718
13	10	一直	9.86758
13	11	在	4.2868
13	12	写信	16.2588
13	13	。	11.1483
14	1	自从	12.3775
14	2	见	16.7682
14	3	了	7.06332
14	4	我	7.22257
14	5	介绍	14.3335
14	6	的	2.37876
14	7	他	9.3696
14	8	。	13.7302
15	1	自从	12.3775
15	2	修	18.6152
15	3	了	4.59782
15	4	村民	12.5223
15	5	需要	11.3564
15	6	的	4.50128
15	7	公路	13.9001
15	8	，	10.2837
15	9	农村	11.9696
15	10	经济	6.70784
15	11	变	13.4562
15	12	好	9.46249
15	13	了	7.30924
15	14	。	14.7954
16	1	自从	12.3775
16	2	修	18.6152
16	3	了	4.59782
16	4	村民	12.5223
16	5	需要	11.3564
16	6	的	4.50128
16	7	公路	13.9001
16	8	。	16.3403
17	1	自从	12.3775
17	2	离开	14.4101
17	3	她	13.0124
17	4	依赖	20.2243
17	5	的	3.13116
17	6	家乡	11.0031
17	7	，	10.2498
17	8	她	9.80973
17	9	一直	9.7792
17	10	想念	12.7984
17	11	父母	8.06013
17	12	。	9.92369
18	1	自从	12.3775
18	2	离开	14.4101
18	3	她	13.0124
18	4	依赖	20.2243
18	5	的	3.13116
18	6	家乡	11.0031
18	7	。	15.8524
19	1	自从	12.3775
19	2	老师	17.9217
19	3	称赞	13.5542
19	4	的	10.1716
19	5	他	8.93135
19	6	开始	9.85826
19	7	读书	11.117
19	8	，	2.11075
19	9	他	11.9405
19	10	的	13.3486
19	11	成绩	10.5356
19	12	提高	11.3892
19	13	了	1.72847
19	14	。	2.0332
20	1	自从	12.3775
20	2	老师	17.9217
20	3	称赞	13.5542
20	4	的	10.1716
20	5	他	8.93135
20	6	开始	9.85826
20	7	读书	11.117
20	8	。	13.0293
21	1	自从	12.3775
21	2	老师	17.9217
21	3	认可	15.4322
21	4	的	1.89644
21	5	他	8.73824
21	6	获得	14.374
21	7	大奖	9.79573
21	8	，	5.26194
21	9	他	4.83837
21	10	不	8.04711
21	11	学习	12.3495
21	12	了	6.01744
21	13	。	4.71618
22	1	自从	12.3775
22	2	老师	17.9217
22	3	认可	15.4322
22	4	的	1.89644
22	5	他	8.73824
22	6	获得	14.374
22	7	大奖	9.79573
22	8	。	15.7711
23	1	自从	12.3775
23	2	我	9.0333
23	3	提到	9.97476
23	4	的	5.47803
23	5	她	10.3956
23	6	认识	14.3435
23	7	了	5.02251
23	8	老师	13.4247
23	9	，	4.06205
23	10	她	11.187
23	11	努力	12.8653
23	12	训练	10.5267
23	13	。	14.3615
24	1	自从	12.3775
24	2	我	9.0333
24	3	提到	9.97476
24	4	的	5.47803
24	5	她	10.3956
24	6	认识	14.3435
24	7	了	5.02251
24	8	老师	13.4247
24	9	。	16.6936
25	1	自从	12.3775
25	2	我	9.0333
25	3	帮助	9.68024
25	4	过	10.1434
25	5	的	7.15225
25	6	她	9.66046
25	7	参与	12.6305
25	8	了	4.38798
25	9	活动	10.2772
25	10	，	5.84538
25	11	她	13.5572
25	12	认识	13.8376
25	13	了	3.43402
25	14	很多	8.27112
25	15	人	2.96233
25	16	。	16.5116
26	1	自从	12.3775
26	2	我	9.0333
26	3	帮助	9.68024
26	4	过	10.1434
26	5	的	7.15225
26	6	她	9.66046
26	7	参与	12.6305
26	8	了	4.38798
26	9	活动	10.2772
26	10	。	20.0049
27	1	自从	12.3775
27	2	我	9.0333
27	3	关心	10.6291
27	4	的	2.59929
27	5	她	11.5075
27	6	学习	12.1526
27	7	了	5.99869
27	8	外语	11.3835
27	9	，	5.17877
27	10	她	12.7862
27	11	看	9.57916
27	12	了	3.53698
27	13	很多	9.39734
27	14	电影	8.77292
27	15	。	10.7298
28	1	自从	12.3775
28	2	我	9.0333
28	3	关心	10.6291
28	4	的	2.59929
28	5	她	11.5075
28	6	学习	12.1526
28	7	了	5.99869
28	8	外语	11.3835
28	9	。	17.2724
29	1	因为	10.096
29	2	喝	15.3471
29	3	了	3.37028
29	4	他	8.41767
29	5	买	14.9414
29	6	的	4.96772
29	7	酒	7.21549
29	8	，	0.229493
29	9	他	4.30135
29	10	摔	13.844
29	11	了	3.0624
29	12	。	4.07077
30	1	因为	10.096
30	2	喝	15.3471
30	3	了	3.37028
30	4	他	8.41767
30	5	买	14.9414
30	6	的	4.96772
30	7	酒	7.21549
30	8	。	8.96882
31	1	因为	10.096
31	2	老师	13.0439
31	3	想	7.55116
31	4	见	10.865
31	5	的	10.6287
31	6	他	7.24977
31	7	要	7.6558
31	8	迟到	18.3406
31	9	了	4.89223
31	10	，	1.71962
31	11	他	4.66656
31	12	结束	15.557
31	13	了	0.574332
31	14	谈话	14.5832
31	15	。	1.72608
32	1	因为	10.096
32	2	老师	13.0439
32	3	想	7.55116
32	4	见	10.865
32	5	的	10.6287
32	6	他	7.24977
32	7	要	7.6558
32	8	迟到	18.3406
32	9	了	4.89223
32	10	。	5.25126
33	1	因为	10.096
33	2	我	5.18497
33	3	了解	10.5842
33	4	的	9.5744
33	5	他	7.23178
33	6	没有	8.05025
33	7	练习	13.5588
33	8	题目	19.023
33	9	，	0.322694
33	10	他	4.54788
33	11	没有	6.78722
33	12	成功	10.8935
33	13	。	1.36182
