sentence_id	token_id	token	surprisal
1	1	我	7.81789711492256
1	2	很	6.702009427459788
1	3	喜欢	5.384079588573897
1	4	一	5.739362538793248
1	5	位	5.182997508272887
1	6	让	8.56933234813648
1	7	人	2.7910440478191703
1	8	开心	11.702536270427153
1	9	的	0.034076281947086784
1	10	明星	10.97071056690875
1	11	。	2.9312288897255314
2	1	我	7.81789711492256
2	2	很	6.702009427459788
2	3	喜欢	5.384079588573897
2	4	一	5.739362538793248
2	5	首	9.63464010622728
2	6	让	8.701018204177352
2	7	人	1.9316964369987701
2	8	开心	11.78093511774172
2	9	的	0.023611496916821295
2	10	明星	12.694600647311063
2	11	。	2.907946072857996
3	1	我	7.81789711492256
3	2	很	6.702009427459788
3	3	喜欢	5.384079588573897
3	4	一	5.739362538793248
3	5	首	9.63464010622728
3	6	让	8.701018204177352
3	7	人	1.9316964369987701
3	8	开心	11.78093511774172
3	9	的	0.023611496916821295
3	10	歌曲	3.226089855941666
3	11	。	2.054649638886957
4	1	我	7.81789711492256
4	2	很	6.702009427459788
4	3	喜欢	5.384079588573897
4	4	一	5.739362538793248
4	5	位	5.182997508272887
4	6	让	8.56933234813648
4	7	人	2.7910440478191703
4	8	开心	11.702536270427153
4	9	的	0.034076281947086784
4	10	歌曲	12.884742149339445
4	11	。	2.345772271563874
5	1	她	7.165315795832697
5	2	开车	18.801629447700385
5	3	去	5.2713669209887115
5	4	了	5.321356226143749
5	5	一	3.387773448545488
5	6	家	3.7268747160095472
5	7	受	13.860280270936023
5	8	大家	12.456141382894856
5	9	欢迎	4.0695454726763955
5	10	的	0.13955393126647664
5	11	店	8.690092133198164
5	12	。	2.9966766237874793
6	1	她	7.165315795832697
6	2	开车	18.801629447700385
6	3	去	5.2713669209887115
6	4	了	5.321356226143749
6	5	一	3.387773448545488
6	6	座	6.999507582958529
6	7	受	12.464750722485327
6	8	大家	12.443273417104962
6	9	欢迎	3.977618712579016
6	10	的	0.09703126724411959
6	11	店	11.894893543902128
6	12	。	3.0498070214397046
7	1	她	7.165315795832697
7	2	开车	18.801629447700385
7	3	去	5.2713669209887115
7	4	了	5.321356226143749
7	5	一	3.387773448545488
7	6	座	6.999507582958529
7	7	受	12.464750722485327
7	8	大家	12.443273417104962
7	9	欢迎	3.977618712579016
7	10	的	0.09703126724411959
7	11	山	9.708622708652612
7	12	。	2.917992831115342
8	1	她	7.165315795832697
8	2	开车	18.801629447700385
8	3	去	5.2713669209887115
8	4	了	5.321356226143749
8	5	一	3.387773448545488
8	6	家	3.7268747160095472
8	7	受	13.860280270936023
8	8	大家	12.456141382894856
8	9	欢迎	4.0695454726763955
8	10	的	0.13955393126647664
8	11	山	14.516977269589702
8	12	。	4.212693453450697
9	1	他	4.617249994410214
9	2	有	12.43497048935645
9	3	一	2.4258522909258637
9	4	双	9.64185864128698
9	5	被	7.9288561388879515
9	6	我	8.399391919329709
9	7	丢	15.640385037757
9	8	了	0.8719759883508047
9	9	的	1.0827497194466673
9	10	手套	15.09398858696018
9	11	。	8.691891641244496
10	1	他	4.617249994410214
10	2	有	12.43497048935645
10	3	一	2.4258522909258637
10	4	枚	11.096277987728417
10	5	被	6.551106590486324
10	6	我	8.527707838299897
10	7	丢	16.19941954193856
10	8	了	0.8948451120273688
10	9	的	1.8493328147413095
10	10	手套	15.813042214987945
10	11	。	10.003723160240526
11	1	他	4.617249994410214
11	2	有	12.43497048935645
11	3	一	2.4258522909258637
11	4	枚	11.096277987728417
11	5	被	6.551106590486324
11	6	我	8.527707838299897
11	7	丢	16.19941954193856
11	8	了	0.8948451120273688
11	9	的	1.8493328147413095
11	10	纽扣	18.72262940970414
11	11	。	10.241610778149564
12	1	他	4.617249994410214
12	2	有	12.43497048935645
12	3	一	2.4258522909258637
12	4	双	9.64185864128698
12	5	被	7.9288561388879515
12	6	我	8.399391919329709
12	7	丢	15.640385037757
12	8	了	0.8719759883508047
12	9	的	1.0827497194466673
12	10	纽扣	17.912384398629797
12	11	。	8.92238467798127
13	1	店长	21.45187127830041
13	2	拿	14.635475051837396
13	3	着	0.46712865683364413
13	4	一	3.029689054454451
13	5	只	3.8989399594816305
13	6	已经	8.471064006828598
13	7	成熟	10.713902223789908
13	8	了	3.436905950772335
13	9	的	0.22420761031536074
13	10	兔子	13.485133339632682
13	11	。	11.624053057960055
14	1	店长	21.45187127830041
14	2	拿	14.635475051837396
14	3	着	0.46712865683364413
14	4	一	3.029689054454451
14	5	根	6.670293870117554
14	6	已经	9.824448216219942
14	7	成熟	10.917562384019298
14	8	了	3.2373943839668584
14	9	的	0.2687693034102523
14	10	兔子	15.368179066553921
14	11	。	11.937734262880383
15	1	店长	21.45187127830041
15	2	拿	14.635475051837396
15	3	着	0.46712865683364413
15	4	一	3.029689054454451
15	5	根	6.670293870117554
15	6	已经	9.824448216219942
15	7	成熟	10.917562384019298
15	8	了	3.2373943839668584
15	9	的	0.2687693034102523
15	10	萝卜	14.998731031966457
15	11	。	12.006720521523306
16	1	店长	21.45187127830041
16	2	拿	14.635475051837396
16	3	着	0.46712865683364413
16	4	一	3.029689054454451
16	5	只	3.8989399594816305
16	6	已经	8.471064006828598
16	7	成熟	10.713902223789908
16	8	了	3.436905950772335
16	9	的	0.22420761031536074
16	10	萝卜	14.50390574781018
16	11	。	11.521758422057147
17	1	他	4.617249994410214
17	2	认识	15.33899410119738
17	3	了	4.818952937829728
17	4	一	6.177538782559381
17	5	名	7.2210705703859475
17	6	会	12.374726674841334
17	7	讲	8.353921115864992
17	8	故事	6.412104253211957
17	9	的	0.26612194820438617
17	10	男孩	11.2577485574526
17	11	。	7.7148086150201465
18	1	他	4.617249994410214
18	2	认识	15.33899410119738
18	3	了	4.818952937829728
18	4	一	6.177538782559381
18	5	本	7.470942860811512
18	6	会	11.323186326445573
18	7	讲	7.012496017762828
18	8	故事	6.726616211917801
18	9	的	0.2341046549767043
18	10	男孩	15.348425206942437
18	11	。	8.008199808774108
19	1	他	4.617249994410214
19	2	认识	15.33899410119738
19	3	了	4.818952937829728
19	4	一	6.177538782559381
19	5	本	7.470942860811512
19	6	会	11.323186326445573
19	7	讲	7.012496017762828
19	8	故事	6.726616211917801
19	9	的	0.2341046549767043
19	10	小说	4.45584878419541
19	11	。	8.176222527067523
20	1	他	4.617249994410214
20	2	认识	15.33899410119738
20	3	了	4.818952937829728
20	4	一	6.177538782559381
20	5	名	7.2210705703859475
20	6	会	12.374726674841334
20	7	讲	8.353921115864992
20	8	故事	6.412104253211957
20	9	的	0.26612194820438617
20	10	小说	12.092397708708376
20	11	。	8.673079538873893
21	1	男人	17.8553369490733
21	2	在	4.260779764531396
21	3	扫描	17.930642944202994
21	4	一	5.679409386145714
21	5	篇	9.409086871212175
21	6	登报	21.454994865336893
21	7	了	13.45535401541862
21	8	的	0.6331211557446608
21	9	文章	2.382871387030221
21	10	。	1.6266306224036953
22	1	男人	17.8553369490733
22	2	在	4.260779764531396
22	3	扫描	17.930642944202994
22	4	一	5.679409386145714
22	5	张	4.2204475632133125
22	6	登报	20.426851239867432
22	7	了	11.870590575493338
22	8	的	0.7693784695910608
22	9	文章	10.324123913795844
22	10	。	1.7549503514284766
23	1	男人	17.8553369490733
23	2	在	4.260779764531396
23	3	扫描	17.930642944202994
23	4	一	5.679409386145714
23	5	张	4.2204475632133125
23	6	登报	20.426851239867432
23	7	了	11.870590575493338
23	8	的	0.7693784695910608
23	9	图片	8.881252491550313
23	10	。	1.4583555137467243
24	1	男人	17.8553369490733
24	2	在	4.260779764531396
24	3	扫描	17.930642944202994
24	4	一	5.679409386145714
24	5	篇	9.409086871212175
24	6	登报	21.454994865336893
24	7	了	13.45535401541862
24	8	的	0.6331211557446608
24	9	图片	10.187703624564449
24	10	。	1.3140689735056696
25	1	演员	16.241814105094452
25	2	在	4.13627750008272
25	3	看	10.163516911581873
25	4	一	8.410013137017526
25	5	张	5.672004429586153
25	6	唤起	17.373885240161954
25	7	她	9.349917429838754
25	8	回忆	10.647471840621819
25	9	的	0.4452695660203716
25	10	旧	9.922641593569637
25	11	照片	2.9732826261167844
25	12	。	16.191443002268343
26	1	演员	16.241814105094452
26	2	在	4.13627750008272
26	3	看	10.163516911581873
26	4	一	8.410013137017526
26	5	位	3.4736008314095557
26	6	唤起	18.835821708020646
26	7	她	9.42208635070395
26	8	回忆	9.825057168483426
26	9	的	0.44795660536159687
26	10	旧	15.409030146265792
26	11	照片	11.08877065496958
26	12	。	16.343483264586183
27	1	演员	16.241814105094452
27	2	在	4.13627750008272
27	3	看	10.163516911581873
27	4	一	8.410013137017526
27	5	位	3.4736008314095557
27	6	唤起	18.835821708020646
27	7	她	9.42208635070395
27	8	回忆	9.825057168483426
27	9	的	0.44795660536159687
27	10	老师	8.09046620851177
27	11	。	16.686836153874097
28	1	演员	16.241814105094452
28	2	在	4.13627750008272
28	3	看	10.163516911581873
28	4	一	8.410013137017526
28	5	张	5.672004429586153
28	6	唤起	17.373885240161954
28	7	她	9.349917429838754
28	8	回忆	10.647471840621819
28	9	的	0.4452695660203716
28	10	老师	13.10192661182245
28	11	。	18.657145465233626
29	1	他	4.617249994410214
29	2	在	5.261581379381969
29	3	修理	17.821125772730113
29	4	一	7.530799554997596
29	5	辆	3.771940398993628
29	6	无法	13.641331934750376
29	7	启动	12.504648246330817
29	8	的	0.08064113882524282
29	9	汽车	2.654946685218718
29	10	。	18.540834774853863
30	1	他	4.617249994410214
30	2	在	5.261581379381969
30	3	修理	17.821125772730113
30	4	一	7.530799554997596
30	5	套	6.60703072806966
30	6	无法	13.021402443736548
30	7	启动	12.688926364907715
30	8	的	0.2979524283113477
30	9	汽车	7.540828074407003
30	10	。	18.656772804515327
31	1	他	4.617249994410214
31	2	在	5.261581379381969
31	3	修理	17.821125772730113
31	4	一	7.530799554997596
31	5	套	6.60703072806966
31	6	无法	13.021402443736548
31	7	启动	12.688926364907715
31	8	的	0.2979524283113477
31	9	系统	5.05447378061443
31	10	。	19.406283134697176
32	1	他	4.617249994410214
32	2	在	5.261581379381969
32	3	修理	17.821125772730113
32	4	一	7.530799554997596
32	5	辆	3.771940398993628
32	6	无法	13.641331934750376
32	7	启动	12.504648246330817
32	8	的	0.08064113882524282
32	9	系统	11.718575706175216
32	10	。	17.94641830956303
33	1	学生	14.32697340109109
33	2	们	19.919332603612773
33	3	在	6.16991959410106
33	4	写	11.460992869615744
33	5	一	2.9579049257951127
33	6	部	6.29859641432045
33	7	长	10.997665095633366
33	8	一	12.146509195566296
33	9	个	3.5265409668413383
33	10	小时	3.4770028984773944
33	11	的	0.014850757296628103
33	12	电影	4.776715490653871
33	13	。	7.049051329524133
34	1	学生	14.32697340109109
34	2	们	19.919332603612773
34	3	在	6.16991959410106
34	4	写	11.460992869615744
34	5	一	2.9579049257951127
34	6	首	3.772023718364835
34	7	长	10.229946310931204
34	8	一	7.644985506421818
34	9	个	1.2205322799753162
34	10	小时	2.180422715048124
34	11	的	1.710092002941451
34	12	电影	9.41910634745922
34	13	。	7.461157236875081
35	1	学生	14.32697340109109
35	2	们	19.919332603612773
35	3	在	6.16991959410106
35	4	写	11.460992869615744
35	5	一	2.9579049257951127
35	6	首	3.772023718364835
35	7	长	10.229946310931204
35	8	一	7.644985506421818
35	9	个	1.2205322799753162
35	10	小时	2.180422715048124
35	11	的	1.710092002941451
35	12	戏曲	15.72551154477432
35	13	。	9.176983250727801
36	1	学生	14.32697340109109
36	2	们	19.919332603612773
36	3	在	6.16991959410106
36	4	写	11.460992869615744
36	5	一	2.9579049257951127
36	6	部	6.29859641432045
36	7	长	10.997665095633366
36	8	一	12.146509195566296
36	9	个	3.5265409668413383
36	10	小时	3.4770028984773944
36	11	的	0.014850757296628103
36	12	戏曲	15.425976350857582
36	13	。	8.647902592023158
37	1	我们	8.317259463882605
37	2	在	5.395715383329296
37	3	看	8.902159672911337
37	4	一	4.345612359409156
37	5	场	2.5686367520249824
37	6	吸引	12.382453324253508
37	7	了	7.18210770797284
37	8	很多	8.380164591959044
37	9	观众	1.870454450042054
37	10	的	0.47480812000197403
37	11	表演	5.4963187376023015
37	12	。	3.5091184002592826
38	1	我们	8.317259463882605
38	2	在	5.395715383329296
38	3	看	8.902159672911337
38	4	一	4.345612359409156
38	5	块	11.052716941615088
38	6	吸引	10.971396880359258
38	7	了	9.092907671062953
38	8	很多	8.237534088226383
38	9	观众	2.603491415568854
38	10	的	0.7927338299758446
38	11	表演	12.602934608148558
38	12	。	4.169431627667109
39	1	我们	8.317259463882605
39	2	在	5.395715383329296
39	3	看	8.902159672911337
39	4	一	4.345612359409156
39	5	块	11.052716941615088
39	6	吸引	10.971396880359258
39	7	了	9.092907671062953
39	8	很多	8.237534088226383
39	9	观众	2.603491415568854
39	10	的	0.7927338299758446
39	11	场地	10.19890768394535
39	12	。	2.689753016966634
40	1	我们	8.317259463882605
40	2	在	5.395715383329296
