sentence_id	token_id	token	surprisal
1	1	随着	10.0795
1	2	支持	13.2028
1	3	国际	7.33946
1	4	贸易	6.49148
1	5	的	1.21795
1	6	政府	9.4732
1	7	发展	7.07055
1	8	，	1.98254
1	9	经济	7.08342
1	10	变	13.9867
1	11	好	7.38021
1	12	了	10.4824
1	13	。	1.63158
2	1	随着	10.0795
2	2	支持	13.2028
2	3	国际	7.33946
2	4	贸易	6.49148
2	5	的	1.21795
2	6	政府	9.4732
2	7	发展	7.07055
2	8	。	12.4754
3	1	随着	10.0795
3	2	缩短	17.6181
3	3	人们	13.3673
3	4	距离	15.1064
3	5	的	5.04194
3	6	互联网	20.076
3	7	的	1.81678
3	8	出现	9.973
3	9	，	0.315083
3	10	生活	10.4939
3	11	质量	8.31979
3	12	提高	11.612
3	13	了	1.13211
3	14	。	8.49738
4	1	随着	10.0795
4	2	缩短	17.6181
4	3	人们	13.3673
4	4	距离	15.1064
4	5	的	5.04194
4	6	互联网	20.076
4	7	的	1.81678
4	8	出现	9.973
4	9	。	9.36476
5	1	随着	10.0795
5	2	一阵	20.4196
5	3	提醒	16.2066
5	4	乘客	16.4082
5	5	的	5.10514
5	6	铃声	18.6879
5	7	，	0.322837
5	8	火车	13.6198
5	9	开	13.2022
5	10	了	1.29254
5	11	。	10.5996
6	1	随着	10.0795
6	2	一阵	20.4196
6	3	提醒	16.2066
6	4	乘客	16.4082
6	5	的	5.10514
6	6	铃声	18.6879
6	7	。	10.0407
7	1	随着	10.0795
7	2	不	11.8357
7	3	敢	10.2531
7	4	说话	14.504
7	5	的	0.478895
7	6	他	9.97101
7	7	的	4.73627
7	8	年龄	13.1858
7	9	增长	13.3163
7	10	，	0.395185
7	11	他	5.73221
7	12	更	7.57878
7	13	有	6.35581
7	14	自信	10.9076
7	15	了	10.7874
7	16	。	0.647938
8	1	随着	10.0795
8	2	不	11.8357
8	3	敢	10.2531
8	4	说话	14.504
8	5	的	0.478895
8	6	他	9.97101
8	7	的	4.73627
8	8	年龄	13.1858
8	9	增长	13.3163
8	10	。	8.77355
9	1	随着	10.0795
9	2	下	11.113
9	3	很多	16.5813
9	4	雪	17.8467
9	5	的	4.63958
9	6	冬天	18.0699
9	7	的	6.08764
9	8	到来	6.78711
9	9	，	0.0690043
9	10	树木	20.8722
9	11	凋零	22.823
9	12	了	0.962918
9	13	。	3.82845
10	1	随着	10.0795
10	2	下	11.113
10	3	很多	16.5813
10	4	雪	17.8467
10	5	的	4.63958
10	6	冬天	18.0699
10	7	的	6.08764
10	8	到来	6.78711
10	9	。	8.87478
11	1	随着	10.0795
11	2	提高	13.3855
11	3	人们	9.96673
11	4	生活	10.0479
11	5	质量	7.73122
11	6	的	1.42062
11	7	科技	15.9983
11	8	发展	5.30311
11	9	，	0.756682
11	10	电脑	13.0241
11	11	功能	11.6193
11	12	变得	10.3348
11	13	更	5.2454
11	14	多	3.69296
11	15	了	5.60513
11	16	。	0.639387
12	1	随着	10.0795
12	2	提高	13.3855
12	3	人们	9.96673
12	4	生活	10.0479
12	5	质量	7.73122
12	6	的	1.42062
12	7	科技	15.9983
12	8	发展	5.30311
12	9	。	9.66497
13	1	自从	11.5384
13	2	见	16.9288
13	3	了	3.62063
13	4	学习	16.3474
13	5	文学	12.2691
13	6	的	2.78231
13	7	他	14.3664
13	8	，	8.04753
13	9	她	10.193
13	10	一直	10.5223
13	11	在	3.90104
13	12	写	8.61293
13	13	信	12.1492
13	14	。	8.36132
14	1	自从	11.5384
14	2	见	16.9288
14	3	了	3.62063
14	4	学习	16.3474
14	5	文学	12.2691
14	6	的	2.78231
14	7	他	14.3664
14	8	。	12.7714
15	1	自从	11.5384
15	2	修	20.2315
15	3	了	5.85489
15	4	通往	16.515
15	5	城市	10.543
15	6	的	0.946701
15	7	公路	6.4878
15	8	，	3.39759
15	9	农村	14.5321
15	10	经济	7.80747
15	11	变	12.1695
15	12	好	7.36512
15	13	了	6.45061
15	14	。	3.52976
16	1	自从	11.5384
16	2	修	20.2315
16	3	了	5.85489
16	4	通往	16.515
16	5	城市	10.543
16	6	的	0.946701
16	7	公路	6.4878
16	8	。	12.1393
17	1	自从	11.5384
17	2	离开	14.3873
17	3	培养	21.116
17	4	了	6.6368
17	5	她	9.44872
17	6	的	1.16457
17	7	家乡	10.3693
17	8	，	6.96039
17	9	她	12.444
17	10	一直	10.3091
17	11	想念	13.8885
17	12	父母	7.52139
17	13	。	12.5205
18	1	自从	11.5384
18	2	离开	14.3873
18	3	培养	21.116
18	4	了	6.6368
18	5	她	9.44872
18	6	的	1.16457
18	7	家乡	10.3693
18	8	。	15.0071
19	1	自从	11.5384
19	2	打	15.8307
19	3	游戏	9.92336
19	4	的	0.962919
19	5	他	8.89842
19	6	开始	6.39047
19	7	读书	10.2536
19	8	，	6.52745
19	9	他	11.104
19	10	的	3.83846
19	11	成绩	14.7914
19	12	提高	22.7807
19	13	了	6.11297
19	14	。	16.9388
20	1	自从	11.5384
20	2	打	15.8307
20	3	游戏	9.92336
20	4	的	0.962919
20	5	他	8.89842
20	6	开始	6.39047
20	7	读书	10.2536
20	8	。	15.028
21	1	自从	11.5384
21	2	认识	17.2266
21	3	科学家	17.6661
21	4	的	2.04247
21	5	他	11.5681
21	6	获得	7.92304
21	7	大奖	13.475
21	8	，	6.81225
21	9	他	12.9132
21	10	不	7.40719
21	11	学习	12.1577
21	12	了	7.09652
