sentence_id	token_id	token	surprisal
1	1	随着	9.35645
1	2	当地	8.74724
1	3	的	1.69372
1	4	政府	9.37192
1	5	发展	8.82459
1	6	，	1.08446
1	7	经济	7.26317
1	8	变	12.3138
1	9	好	10.7322
1	10	了	8.48759
1	11	。	1.52909
2	1	随着	9.35645
2	2	当地	8.74724
2	3	的	1.69372
2	4	政府	9.37192
2	5	发展	8.82459
2	6	。	10.63
3	1	随着	9.35645
3	2	庞大	13.9075
3	3	的	1.2821
3	4	互联网	14.482
3	5	的	10.4775
3	6	出现	9.76403
3	7	，	0.206986
3	8	生活	12.0394
3	9	质量	7.63151
3	10	提高	10.0266
3	11	了	1.19424
3	12	。	6.82702
4	1	随着	9.35645
4	2	庞大	13.9075
4	3	的	1.2821
4	4	互联网	14.482
4	5	的	10.4775
4	6	出现	9.76403
4	7	。	10.5719
5	1	随着	9.35645
5	2	一阵	19.9024
5	3	很	15.0632
5	4	响	15.8533
5	5	的	6.17741
5	6	铃声	20.6658
5	7	，	1.35451
5	8	火车	14.7589
5	9	开	12.2374
5	10	了	1.8282
5	11	。	11.0841
6	1	随着	9.35645
6	2	一阵	19.9024
6	3	很	15.0632
6	4	响	15.8533
6	5	的	6.17741
6	6	铃声	20.6658
6	7	。	10.9414
7	1	随着	9.35645
7	2	不	12.1681
7	3	自信	15.8455
7	4	的	1.28912
7	5	他	15.6378
7	6	的	2.90253
7	7	年龄	13.6131
7	8	增长	13.1971
7	9	，	1.84837
7	10	他	5.99817
7	11	更	7.63766
7	12	有	5.40105
7	13	自信	9.26766
7	14	了	10.2365
7	15	。	0.177916
8	1	随着	9.35645
8	2	不	12.1681
8	3	自信	15.8455
8	4	的	1.28912
8	5	他	15.6378
8	6	的	2.90253
8	7	年龄	13.6131
8	8	增长	13.1971
8	9	。	10.9247
9	1	随着	9.35645
9	2	寒冷	21.6266
9	3	的	0.209541
9	4	冬天	14.8114
9	5	的	4.33722
9	6	到来	6.36205
9	7	，	0.0496519
9	8	树木	19.9704
9	9	凋零	21.3385
9	10	了	2.52137
9	11	。	4.33044
10	1	随着	9.35645
10	2	寒冷	21.6266
10	3	的	0.209541
10	4	冬天	14.8114
10	5	的	4.33722
10	6	到来	6.36205
10	7	。	10.6703
11	1	随着	9.35645
11	2	新兴	12.8454
11	3	的	2.56662
11	4	科技	7.35347
11	5	发展	3.46995
11	6	，	0.362527
11	7	电脑	12.7878
11	8	功能	11.8388
11	9	变得	11.011
11	10	更	5.50528
11	11	多	3.17667
11	12	了	6.31151
11	13	。	0.572035
12	1	随着	9.35645
12	2	新兴	12.8454
12	3	的	2.56662
12	4	科技	7.35347
12	5	发展	3.46995
12	6	。	12.3929
13	1	自从	11.0014
13	2	见	16.2598
13	3	了	3.25284
13	4	聪明	15.4689
13	5	的	0.631005
13	6	他	10.4548
13	7	，	5.25599
13	8	她	8.94709
13	9	一直	10.1538
13	10	在	3.65834
13	11	写信	15.4377
13	12	。	11.1893
14	1	自从	11.0014
14	2	见	16.2598
14	3	了	3.25284
14	4	聪明	15.4689
14	5	的	0.631005
14	6	他	10.4548
14	7	。	12.6338
15	1	自从	11.0014
15	2	修	15.8489
15	3	了	4.45839
15	4	新	9.64923
15	5	的	2.39602
15	6	公路	9.59696
15	7	，	10.1266
15	8	农村	14.8089
15	9	经济	5.83649
15	10	变	15.7867
15	11	好	11.3099
