sentence_id	token_id	token	surprisal
1	1	那	10.3293
1	2	位	6.22899
1	3	教授	6.71785
1	4	写	10.9073
1	5	了	1.10644
1	6	读者	12.6705
1	7	喜欢	13.5007
1	8	的	1.24227
1	9	书	7.43442
1	10	的	9.66737
1	11	内容	9.61691
1	12	。	0.303718
2	1	那	10.3293
2	2	位	6.22899
2	3	教授	6.71785
2	4	打	12.5124
2	5	了	2.44905
2	6	读者	16.5607
2	7	喜欢	15.0372
2	8	的	5.59435
2	9	书	7.17607
2	10	的	12.6509
2	11	内容	11.2594
2	12	。	2.36213
3	1	弟弟	19.614
3	2	启动	20.0464
3	3	了	1.67153
3	4	父亲	12.7795
3	5	买	12.6457
3	6	的	1.26586
3	7	车	10.6496
3	8	。	0.700535
4	1	弟弟	19.614
4	2	认识	18.142
4	3	了	3.9802
4	4	父亲	11.3377
4	5	买	12.2529
4	6	的	1.97482
4	7	车	9.85592
4	8	。	2.28075
5	1	他	4.39796
5	2	拿	14.715
5	3	了	2.10103
5	4	桌子	13.8332
5	5	上	12.6757
5	6	的	4.74524
5	7	妈妈	10.8807
5	8	放	13.3081
5	9	的	9.21035
5	10	筷子	14.8683
5	11	。	2.33001
6	1	他	4.39796
6	2	听	13.7527
6	3	了	2.00521
6	4	桌子	15.5801
6	5	上	12.1829
6	6	的	8.65721
6	7	妈妈	10.5207
6	8	放	15.3235
6	9	的	8.53653
6	10	筷子	15.209
6	11	。	9.88263
7	1	她	7.66365
7	2	终于	12.9448
7	3	实现	9.43848
7	4	了	0.662677
7	5	她	8.16304
7	6	设立	16.8542
7	7	的	1.25343
7	8	理想	11.5858
7	9	。	2.52867
8	1	她	7.66365
8	2	终于	12.9448
8	3	购买	13.0113
8	4	了	0.509194
8	5	她	6.78515
8	6	设立	17.7415
8	7	的	0.36919
8	8	理想	13.5867
8	9	。	2.30802
9	1	我	7.44964
9	2	修理	21.5867
9	3	了	1.79811
9	4	这个	7.11706
9	5	父亲	14.5924
9	6	使用	14.0049
9	7	的	0.437062
9	8	电脑	7.35315
9	9	。	2.75572
10	1	我	7.44964
10	2	阅读	16.9007
10	3	了	1.54209
10	4	这个	5.96126
10	5	父亲	13.5209
10	6	使用	14.8495
10	7	的	1.06202
10	8	电脑	7.98162
10	9	。	2.26097
11	1	我	7.44964
11	2	邀请	13.8804
11	3	过	10.2913
11	4	母亲	13.5293
11	5	认识	14.5003
11	6	的	4.52861
11	7	我	9.40032
11	8	的	2.90527
11	9	朋友	4.05406
11	10	。	2.38834
12	1	我	7.44964
12	2	打开	15.2226
12	3	过	5.3792
12	4	母亲	12.8424
12	5	认识	16.8424
12	6	的	5.32762
12	7	我	10.5651
12	8	的	1.45442
12	9	朋友	6.66507
12	10	。	1.85287
13	1	记者	7.99862
13	2	采访	9.03564
13	3	了	2.29515
13	4	人民	13.3754
13	5	喜爱	18.5368
13	6	的	3.80013
13	7	艺术家	11.776
13	8	。	0.9011
14	1	记者	7.99862
14	2	制作	20.5797
14	3	了	3.02867
14	4	人民	15.9514
14	5	喜爱	12.5917
14	6	的	0.291955
14	7	艺术家	13.4391
14	8	。	1.95607
15	1	他	4.39796
15	2	参与	15.2215
15	3	了	1.82518
15	4	宗教	15.2139
15	5	引发	21.3788
15	6	的	8.36918
15	7	战争	5.94205
15	8	。	12.4882
16	1	他	4.39796
16	2	建造	19.6153
16	3	了	2.30348
16	4	宗教	16.8941
16	5	引发	22.022
16	6	的	9.70139
16	7	战争	9.50264
16	8	。	3.06822
17	1	她	7.66365
17	2	批评	11.1511
17	3	了	3.84173
17	4	她	7.06498
17	5	爱	12.2465
17	6	的	3.77199
17	7	儿子	11.5194
17	8	。	2.35174
18	1	她	7.66365
18	2	改正	22.8996
18	3	了	2.98699
18	4	她	6.63996
18	5	爱	11.734
18	6	的	2.68182
18	7	儿子	8.30409
18	8	。	0.884624
19	1	我	7.44964
19	2	结束	17.372
19	3	了	1.35558
19	4	我	7.2018
19	5	正在	12.9548
19	6	进行	5.76831
19	7	的	3.5458
19	8	谈话	7.70569
19	9	。	0.859603
20	1	我	7.44964
20	2	表扬	17.3295
20	3	了	0.991817
20	4	我	4.51641
20	5	正在	11.1329
20	6	进行	5.6286
20	7	的	0.294969
20	8	谈话	11.2013
20	9	。	0.566554
21	1	他	4.39796
21	2	买	17.1993
