sentence_id	token_id	token	surprisal
1	1	记者	9.97222
1	2	采访	7.48111
1	3	了	4.15997
1	4	。	6.13104
2	1	记者	9.97222
2	2	采访	7.48111
2	3	了	4.15997
2	4	科学家	14.4128
2	5	。	2.31886
3	1	他	5.65708
3	2	认识	11.7736
3	3	了	3.58441
3	4	。	8.95095
4	1	他	5.65708
4	2	认识	11.7736
4	3	了	3.58441
4	4	老师	11.2465
4	5	。	4.04269
5	1	他	5.65708
5	2	拍	13.9347
5	3	下	13.4584
5	4	了	4.93887
5	5	。	8.26309
6	1	他	5.65708
6	2	拍	13.9347
6	3	下	13.4584
6	4	了	4.93887
6	5	艺术品	19.0001
6	6	。	2.11672
7	1	我们	6.69848
7	2	参加	11.3406
7	3	了	1.5571
7	4	。	8.91852
8	1	我们	6.69848
8	2	参加	11.3406
8	3	了	1.5571
8	4	活动	13.9496
8	5	。	3.21333
9	1	他	5.65708
9	2	想起	13.1613
9	3	了	1.01099
9	4	。	8.89397
10	1	他	5.65708
10	2	想起	13.1613
10	3	了	1.01099
10	4	同学	15.0414
10	5	。	4.95392
11	1	司机	15.9385
11	2	启动	20.5199
11	3	了	2.23484
11	4	。	5.99051
12	1	司机	15.9385
12	2	启动	20.5199
12	3	了	2.23484
12	4	车	12.9887
12	5	。	4.91774
13	1	爸爸	11.7089
13	2	买	10.5662
13	3	了	3.30396
13	4	。	8.11843
14	1	爸爸	11.7089
14	2	买	10.5662
14	3	了	3.30396
14	4	房子	7.02634
14	5	。	5.75225
15	1	他	5.65708
15	2	损失	19.6313
15	3	了	2.04404
15	4	。	7.2991
16	1	他	5.65708
16	2	损失	19.6313
16	3	了	2.04404
16	4	现金	12.1461
16	5	。	3.01369
17	1	我	5.25122
17	2	拜访	14.8789
17	3	了	2.20001
17	4	。	7.33779
18	1	我	5.25122
18	2	拜访	14.8789
18	3	了	2.20001
18	4	邻居	14.8025
18	5	。	6.45813
19	1	爷爷	15.6413
19	2	中止	19.5995
19	3	了	1.8389
19	4	。	3.04539
20	1	爷爷	15.6413
20	2	中止	19.5995
20	3	了	1.8389
20	4	谈话	18.2598
20	5	。	1.97534
21	1	她	8.15034
21	2	提到	10.8582
21	3	了	4.37095
21	4	。	7.34572
22	1	她	8.15034
22	2	提到	10.8582
22	3	了	4.37095
22	4	女儿	12.7941
22	5	。	10.1795
23	1	医生	13.5275
23	2	表扬	16.158
23	3	了	2.37279
23	4	。	7.55818
24	1	医生	13.5275
24	2	表扬	16.158
24	3	了	2.37279
24	4	孩子	8.99566
24	5	。	6.52502
25	1	她	8.15034
25	2	介绍	11.324
25	3	了	1.75253
25	4	。	7.5552
26	1	她	8.15034
26	2	介绍	11.324
26	3	了	1.75253
26	4	工厂	14.9686
26	5	。	13.7264
27	1	我	5.25122
27	2	洗	16.6639
27	3	了	1.53366
27	4	。	7.14631
28	1	我	5.25122
28	2	洗	16.6639
28	3	了	1.53366
28	4	衣服	10.1598
28	5	。	3.13402
29	1	学生	12.7109
29	2	们	21.2437
29	3	写	14.065
29	4	着	1.98073
29	5	。	8.01697
30	1	学生	12.7109
30	2	们	21.2437
30	3	写	14.065
30	4	着	1.98073
30	5	作业	16.65
30	6	。	2.84701
31	1	店长	19.448
31	2	拿	13.1185
31	3	着	1.68681
31	4	。	12.4561
32	1	店长	19.448
32	2	拿	13.1185
32	3	着	1.68681
32	4	钥匙	17.987
32	5	。	5.37815
33	1	有人	15.7006
33	2	听	10.929
33	3	着	3.49981
33	4	。	10.2909
34	1	有人	15.7006
34	2	听	10.929
34	3	着	3.49981
34	4	音乐	14.0946
34	5	。	11.7761
35	1	我	5.25122
35	2	观察	14.5719
35	3	着	9.48196
35	4	。	6.05763
36	1	我	5.25122
36	2	观察	14.5719
36	3	着	9.48196
36	4	男人	13.9922
36	5	。	7.72029
37	1	学生	12.7109
37	2	们	21.2437
37	3	读	17.7214
37	4	着	3.34714
37	5	。	9.12002
38	1	学生	12.7109
38	2	们	21.2437
38	3	读	17.7214
38	4	着	3.34714
38	5	书	8.28814
38	6	。	3.04658
39	1	教练	20.1753
39	2	创办	15.8772
39	3	过	8.80247
39	4	。	9.66365
40	1	教练	20.1753
40	2	创办	15.8772
40	3	过	8.80247
40	4	健身房	14.2314
40	5	。	5.35939
41	1	我	5.25122
41	2	喜欢	7.62507
41	3	过	7.58635
41	4	。	6.92443
42	1	我	5.25122
42	2	喜欢	7.62507
42	3	过	7.58635
42	4	音乐	14.4543
42	5	。	2.7612
43	1	她	8.15034
43	2	开	11.8822
43	3	过	4.57341
43	4	。	9.42327
44	1	她	8.15034
44	2	开	11.8822
44	3	过	4.57341
44	4	车	10.8041
44	5	。	3.95962
45	1	他	5.65708
45	2	修理	16.8291
45	3	过	6.36332
45	4	。	5.291
46	1	他	5.65708
46	2	修理	16.8291
46	3	过	6.36332
46	4	电脑	12.9166
46	5	。	4.95445
47	1	他	5.65708
47	2	讲	10.9476
47	3	过	3.44899
47	4	。	8.70585
48	1	他	5.65708
48	2	讲	10.9476
48	3	过	3.44899
48	4	课	15.399
48	5	。	5.04229
49	1	我	5.25122
49	2	邀请	16.1204
49	3	过	6.03472
49	4	。	11.7731
50	1	我	5.25122
50	2	邀请	16.1204
50	3	过	6.03472
50	4	朋友	11.0319
50	5	。	3.92324
51	1	她	8.15034
51	2	申请	13.447
51	3	过	8.88489
51	4	。	9.32553
52	1	她	8.15034
52	2	申请	13.447
52	3	过	8.88489
52	4	奖金	14.3457
52	5	。	3.56464
53	1	她	8.15034
53	2	去	9.76766
53	3	。	11.7808
54	1	她	8.15034
54	2	去	9.76766
54	3	商店	20.2987
54	4	。	11.5234
55	1	弟弟	16.6469
55	2	需要	13.7692
55	3	。	12.1923
56	1	弟弟	16.6469
56	2	需要	13.7692
56	3	钱	9.04027
56	4	。	10.4064
57	1	他	5.65708
57	2	很	8.47558
57	3	欣赏	7.4187
57	4	。	5.05125
58	1	他	5.65708
58	2	很	8.47558
58	3	欣赏	7.4187
58	4	作家	15.0517
58	5	。	6.06751
59	1	我	5.25122
59	2	经常	10.0064
59	3	去	6.74277
59	4	。	8.1229
60	1	我	5.25122
60	2	经常	10.0064
60	3	去	6.74277
60	4	医院	10.1735
60	5	。	5.31957
