sentence_id	token_id	token	surprisal
1	1	随着	8.38126427827
1	2	政府	9.98079282201
1	3	发展	10.8791581096
1	4	，	4.87038852785
1	5	经济	8.93798689782
1	6	变	16.5138983011
1	7	好	9.20380719427
1	8	了	5.04477600799
1	9	。	2.83152637426
2	1	随着	8.38126427827
2	2	政府	9.98079282201
2	3	发展	10.8791581096
2	4	。	5.07571023093
3	1	随着	8.38126427827
3	2	互联网	17.2279747969
3	3	的	3.20425432714
3	4	出现	11.9261253508
3	5	，	0.978011510263
3	6	生活	11.8800398506
3	7	质量	5.44228505584
3	8	提高	6.88973542191
3	9	了	5.31589410744
3	10	。	5.88159412981
4	1	随着	8.38126427827
4	2	互联网	17.2279747969
4	3	的	3.20425432714
4	4	出现	11.9261253508
4	5	。	4.8177958863
5	1	随着	8.38126427827
5	2	一阵	12.4998378126
5	3	铃声	18.8225370421
5	4	，	5.77084703078
5	5	火车	15.8853735172
5	6	开	13.6142198154
5	7	了	2.56482545965
5	8	。	6.20394055384
6	1	随着	8.38126427827
6	2	一阵	12.4998378126
6	3	铃声	18.8225370421
6	4	。	5.77084703078
7	1	随着	8.38126427827
7	2	他	11.8603507884
7	3	的	3.94459685698
7	4	年龄	12.9685673291
7	5	增长	10.5405716449
7	6	，	5.28702444568
7	7	他	7.98804094119
7	8	更	9.8171182503
7	9	有	5.40534628086
7	10	自信	16.3059614125
7	11	了	7.67131174584
7	12	。	5.65840603608
8	1	随着	8.38126427827
8	2	他	11.8603507884
8	3	的	3.94459685698
8	4	年龄	12.9685673291
8	5	增长	10.5405716449
8	6	。	5.64514509203
9	1	随着	8.38126427827
9	2	冬天	17.2836642068
9	3	的	4.10967005068
9	4	到来	11.7316714956
9	5	，	1.67222987004
9	6	树木	17.4758912646
9	7	凋零	22.6422883943
9	8	了	9.13608245137
9	9	。	5.65840603608
10	1	随着	8.38126427827
10	2	冬天	17.2836642068
10	3	的	4.10967005068
10	4	到来	11.7316714956
10	5	。	1.39706049682
11	1	随着	8.38126427827
11	2	科技	10.8435184268
11	3	发展	5.31127771071
11	4	，	5.18702796669
11	5	电脑	13.4905190657
11	6	功能	14.0453928007
11	7	变得	15.2334640218
11	8	更	3.77855713496
11	9	多	2.83426682165
11	10	了	8.60583981338
11	11	。	2.57328224308
12	1	随着	8.38126427827
12	2	科技	10.8435184268
12	3	发展	5.31127771071
12	4	。	6.88151366799
13	1	自从	12.1214134162
13	2	见	14.3882013711
13	3	了	5.40590340007
13	4	他	8.06378250414
13	5	，	5.56568086844
13	6	她	9.24960284305
13	7	一直	8.11645029899
13	8	在	3.75399408698
13	9	写信	16.698258439
13	10	。	4.51253044446
14	1	自从	12.1214134162
14	2	见	14.3882013711
14	3	了	5.40590340007
14	4	他	8.06378250414
14	5	。	4.94250763813
15	1	自从	12.1214134162
15	2	修	15.4745614028
15	3	了	4.55397470451
15	4	公路	11.2897523492
15	5	，	2.49293669664
15	6	农村	11.1120894199
15	7	经济	3.36385753765
15	8	变	16.4908196382
15	9	好	9.20380719427
15	10	了	5.04477600799
15	11	。	2.83152637426
16	1	自从	12.1214134162
16	2	修	15.4745614028
16	3	了	4.55397470451
16	4	公路	11.2897523492
16	5	。	4.66428260242
17	1	自从	12.1214134162
17	2	离开	13.3407183779
17	3	家乡	9.11452736737
17	4	，	5.68672906818
17	5	她	8.96128648793
17	6	一直	8.11645029899
17	7	想念	20.1315842522
17	8	父母	14.5586088123
17	9	。	7.94910505433
18	1	自从	12.1214134162
18	2	离开	13.3407183779
18	3	家乡	9.11452736737
18	4	。	7.71543386434
19	1	自从	12.1214134162
19	2	他	8.80713703385
19	3	开始	10.2659668796
19	4	读书	13.8625510978
19	5	，	2.42637263626
19	6	他	4.86591725009
19	7	的	3.96977705313
19	8	成绩	5.71342388438
19	9	提高	11.5274088132
19	10	了	4.57736775103
19	11	。	5.88159412981
20	1	自从	12.1214134162
20	2	他	8.80713703385
20	3	开始	10.2659668796
20	4	读书	13.8625510978
20	5	。	3.62112069174
21	1	自从	12.1214134162
21	2	他	8.80713703385
21	3	获得	9.73872714183
21	4	大奖	12.1733300281
21	5	，	3.09951671254
21	6	他	7.59578800276
21	7	不	6.81054409973
21	8	学习	13.7287745501
21	9	了	6.3596547928
21	10	。	5.65840603608
22	1	自从	12.1214134162
22	2	他	8.80713703385
22	3	获得	9.73872714183
22	4	大奖	12.1733300281
22	5	。	2.04890044686
23	1	自从	12.1214134162
23	2	她	8.80713703385
23	3	认识	12.8849356389
23	4	了	4.91453357282
23	5	老师	17.2682073255
23	6	，	3.78416447652
23	7	她	9.00816382527
23	8	努力	13.489568606
23	9	训练	13.4280105695
23	10	。	3.16079242184
24	1	自从	12.1214134162
24	2	她	8.80713703385
24	3	认识	12.8849356389
24	4	了	4.91453357282
24	5	老师	17.2682073255
24	6	。	5.03362765513
25	1	自从	12.1214134162
25	2	她	8.80713703385
25	3	参与	12.8849356389
25	4	了	4.69194132667
25	5	活动	14.9720960702
25	6	，	2.95873234215
25	7	她	10.4284919952
25	8	认识	13.489568606
25	9	了	4.91453357282
25	10	很多	9.50862184164
25	11	人	5.80799273423
25	12	。	7.23717259093
26	1	自从	12.1214134162
26	2	她	8.80713703385
26	3	参与	12.8849356389
26	4	了	4.69194132667
26	5	活动	14.9720960702
26	6	。	3.09217284153
27	1	自从	12.1214134162
27	2	她	8.80713703385
27	3	学习	12.8849356389
27	4	了	6.3596547928
27	5	外语	15.5446996955
27	6	，	4.38925700723
27	7	她	8.96128648793
27	8	看	13.489568606
27	9	了	4.55195836885
27	10	很多	9.69936952004
27	11	电影	13.5441333027
27	12	。	5.98540978112
28	1	自从	12.1214134162
28	2	她	8.80713703385
28	3	学习	12.8849356389
28	4	了	6.3596547928
28	5	外语	15.5446996955
28	6	。	5.22876765606
29	1	因为	9.701741547
29	2	喝	15.3812484231
29	3	了	4.62675489207
29	4	酒	15.5053340109
29	5	，	2.69214158659
29	6	他	7.66423760767
29	7	摔	18.0125504355
29	8	了	2.93382123603
29	9	。	5.65840603608
30	1	因为	9.701741547
30	2	喝	15.3812484231
30	3	了	4.62675489207
30	4	酒	15.5053340109
30	5	。	4.51878572109
31	1	因为	9.701741547
31	2	他	5.22551563719
31	3	要	8.33303307987
31	4	迟到	20.8869995884
31	5	了	2.79259987225
31	6	，	5.81050053868
31	7	他	5.82091153973
31	8	结束	12.8068310119
31	9	了	3.3275952972
31	10	谈话	16.2647858501
31	11	。	2.34235560498
32	1	因为	9.701741547
32	2	他	5.22551563719
32	3	要	8.33303307987
32	4	迟到	20.8869995884
32	5	了	2.79259987225
32	6	。	5.65840603608
33	1	因为	9.701741547
33	2	他	5.22551563719
33	3	没有	9.29209671254
33	4	练习	13.8995603226
33	5	题目	17.7717304855
33	6	，	3.77556412585
33	7	他	7.59578800276
33	8	没有	8.11592830133
33	9	成功	8.78261159249
33	10	。	0.98830915254
34	1	因为	9.701741547
34	2	他	5.22551563719
34	3	没有	9.29209671254
34	4	练习	13.8995603226
34	5	题目	17.7717304855
34	6	。	6.25627417304
35	1	因为	9.701741547
35	2	疾病	12.819291717
35	3	，	3.18422391933
35	4	她	9.06735688362
35	5	拒绝	11.8332521876
35	6	了	3.51476609467
35	7	演出	13.2104133149
35	8	。	3.34235487335
36	1	因为	9.701741547
36	2	疾病	12.819291717
36	3	。	3.93959750104
37	1	因为	9.701741547
37	2	听	12.819291717
37	3	着	5.35837643739
37	4	音乐	13.8820218741
37	5	，	5.09063529299
37	6	她	8.98943238119
37	7	错过	18.0679246331
37	8	了	2.27883141044
37	9	广播	15.7479454936
37	10	。	10.1023622847
38	1	因为	9.701741547
38	2	听	12.819291717
38	3	着	5.35837643739
38	4	音乐	13.8820218741
38	5	。	5.70507885483
39	1	尽管	9.38210827955
39	2	领导	12.6409773672
39	3	已经	11.9097168895
39	4	离去	17.6626168387
39	5	，	1.55073171043
39	6	工人	14.5382254803
39	7	还	6.859697825
39	8	在	2.66428351696
39	9	工作	11.0528576328
39	10	。	4.15913387892
40	1	尽管	9.38210827955
40	2	领导	12.6409773672
40	3	已经	11.9097168895
40	4	离去	17.6626168387
40	5	。	1.55073171043
41	1	尽管	9.38210827955
41	2	他	8.00529185015
41	3	年纪	16.911985313
41	4	小	6.95142042124
41	5	，	4.75148692589
41	6	他	7.73913056785
41	7	有	7.78287591685
41	8	能力	8.70096744862
41	9	。	3.47063343281
42	1	尽管	9.38210827955
42	2	他	8.00529185015
42	3	年纪	16.911985313
42	4	小	6.95142042124
42	5	。	6.2817993202
43	1	尽管	9.38210827955
43	2	她	8.00529185015
43	3	会	11.2668830775
43	4	开车	13.7876556225
43	5	，	4.05123100237
43	6	她	8.96128648793
43	7	今天	8.59331297953
43	8	没有	9.36253040334
43	9	开车	16.317820057
43	10	。	5.59995319493
44	1	尽管	9.38210827955
44	2	她	8.00529185015
44	3	会	11.2668830775
44	4	开车	13.7876556225
44	5	。	5.59995319493
45	1	尽管	9.38210827955
45	2	作家	14.8285636618
45	3	很	11.4502728573
45	4	年轻	9.59203474722
45	5	，	0.969798697184
45	6	他	8.05304743918
45	7	写	11.0111549701
45	8	了	3.51228119173
45	9	很多	9.82506975008
45	10	作品	11.2985933593
45	11	。	3.72235340055
46	1	尽管	9.38210827955
46	2	作家	14.8285636618
46	3	很	11.4502728573
46	4	年轻	9.59203474722
46	5	。	9.48387676993
47	1	尽管	9.38210827955
47	2	父亲	15.2909129393
47	3	不	9.55744306183
47	4	同意	8.72199457799
47	5	他	8.85159519196
47	6	唱歌	17.9714338922
47	7	，	3.47071068273
47	8	他	7.59578800276
47	9	还是	8.72908044364
47	10	买	13.5733743565
47	11	了	3.16024417735
47	12	吉他	18.1571255841
47	13	。	5.77084703078
48	1	尽管	9.38210827955
48	2	父亲	15.2909129393
48	3	不	9.55744306183
48	4	同意	8.72199457799
48	5	他	8.85159519196
48	6	唱歌	17.9714338922
48	7	。	7.28590180677
49	1	尽管	9.38210827955
