sentence_id	token_id	token	surprisal
1	1	那	10.5927
1	2	家	10.0624
1	3	老板	8.71002
1	4	投资	11.7856
1	5	的	2.57361
1	6	饭店	12.3478
1	7	很	8.78176
1	8	受	6.80693
1	9	欢迎	3.89001
1	10	。	1.57623
2	1	那	10.5927
2	2	个	6.11826
2	3	老板	13.2729
2	4	投资	12.575
2	5	的	1.75737
2	6	饭店	13.7737
2	7	很	7.95822
2	8	受	7.36356
2	9	欢迎	4.38837
2	10	。	1.90043
3	1	那	10.5927
3	2	幅	9.73656
3	3	朋友	17.9689
3	4	喜欢	9.40821
3	5	的	4.23885
3	6	画	9.78152
3	7	吸引	11.143
3	8	了	0.513765
3	9	我	7.45924
3	10	。	4.51723
4	1	那	10.5927
4	2	个	6.11826
4	3	朋友	9.97932
4	4	喜欢	8.8449
4	5	的	6.81178
4	6	画	12.7623
4	7	吸引	11.6431
4	8	了	0.41696
4	9	我	5.46364
4	10	。	4.60239
5	1	那	10.5927
5	2	件	8.27094
5	3	老师	13.8997
5	4	收藏	13.8594
5	5	的	0.393113
5	6	艺术品	11.8042
5	7	获	13.5115
5	8	了	3.1996
5	9	奖	8.87441
5	10	。	1.73478
6	1	那	10.5927
6	2	个	6.11826
6	3	老师	11.6255
6	4	收藏	15.1711
6	5	的	1.6145
6	6	艺术品	11.7151
6	7	获	14.0725
6	8	了	2.96663
6	9	奖	8.96855
6	10	。	1.59994
7	1	那	10.5927
7	2	只	7.59125
7	3	店长	23.6788
7	4	喜欢	13.6744
7	5	的	3.15394
7	6	宠物	14.6209
7	7	生病	16.3248
7	8	了	2.80755
7	9	。	1.87068
8	1	那	10.5927
8	2	个	6.11826
8	3	店长	21.6726
8	4	喜欢	13.7562
8	5	的	2.98122
8	6	宠物	15.1889
8	7	生病	16.6136
8	8	了	2.73966
8	9	。	1.98448
9	1	那	10.5927
9	2	首	14.6811
9	3	明星	13.4937
9	4	唱	13.9982
9	5	的	8.59849
9	6	歌	10.1623
9	7	很	11.8367
9	8	好听	11.6403
9	9	。	1.84428
10	1	那	10.5927
10	2	个	6.11826
10	3	明星	13.469
10	4	唱	13.6501
10	5	的	8.78345
10	6	歌	11.6146
10	7	很	11.8149
10	8	好听	12.2179
10	9	。	1.76924
11	1	那	10.5927
11	2	所	11.3402
11	3	老人	11.6409
11	4	去	10.537
11	5	的	11.0862
11	6	学校	10.2262
11	7	关闭	17.9427
11	8	了	2.76534
11	9	。	4.14727
12	1	那	10.5927
12	2	个	6.11826
12	3	老人	12.7543
12	4	去	9.87529
12	5	的	8.83638
12	6	学校	8.87542
12	7	关闭	16.7911
12	8	了	0.662279
12	9	。	5.76518
13	1	那	10.5927
13	2	件	8.27094
13	3	司机	18.3301
13	4	带	8.56551
13	5	的	1.58479
13	6	行李	14.5074
13	7	丢	17.5456
13	8	了	1.32536
13	9	。	4.00483
14	1	那	10.5927
14	2	个	6.11826
14	3	司机	16.3034
14	4	带	9.02717
14	5	的	2.05905
14	6	行李	14.4915
14	7	丢	17.4649
14	8	了	1.19768
14	9	。	4.11813
15	1	那	10.5927
15	2	本	11.4316
15	3	作家	12.9226
15	4	写	9.74371
15	5	的	4.38707
15	6	书	5.4468
15	7	很	9.75915
15	8	受	8.74029
15	9	欢迎	4.67161
15	10	。	1.11441
16	1	那	10.5927
16	2	个	6.11826
16	3	作家	13.0269
16	4	写	9.91387
16	5	的	4.42149
16	6	书	5.9983
16	7	很	9.11801
16	8	受	9.19814
16	9	欢迎	4.5971
16	10	。	1.87353
17	1	那	10.5927
17	2	辆	9.87368
17	3	朋友	16.685
17	4	开	12.1527
17	5	的	3.20593
17	6	车	6.38125
17	7	坏	17.5324
17	8	了	1.55164
17	9	。	2.5054
18	1	那	10.5927
18	2	个	6.11826
18	3	朋友	9.97932
18	4	开	13.9643
18	5	的	4.44046
18	6	车	10.4511
18	7	坏	17.2924
18	8	了	1.53314
18	9	。	3.16289
19	1	那	10.5927
19	2	份	7.8651
19	3	孩子	13.8625
19	4	做	9.7954
19	5	的	0.863018
19	6	作业	13.7223
19	7	获	15.4571
19	8	了	2.23354
19	9	奖	10.2232
19	10	。	1.05261
20	1	那	10.5927
20	2	个	6.11826
20	3	孩子	6.40266
20	4	做	10.1832
20	5	的	8.06687
20	6	作业	16.0404
20	7	获	19.57
20	8	了	2.76735
20	9	奖	9.46194
20	10	。	1.55687
21	1	那	10.5927
21	2	份	7.8651
21	3	老板	16.0707
21	4	制定	14.0596
21	5	的	0.414352
21	6	合同	9.14604
21	7	到期	16.1825
21	8	了	5.26592
21	9	。	1.69235
22	1	那	10.5927
22	2	个	6.11826
22	3	老板	13.2729
22	4	制定	16.2904
22	5	的	2.1648
22	6	合同	11.0832
22	7	到期	16.7787
22	8	了	5.23284
22	9	。	2.16959
23	1	那	10.5927
23	2	间	12.7508
23	3	朋友	10.0543
23	4	开	13.425
23	5	的	3.9176
23	6	工厂	13.2533
23	7	倒闭	17.7217
23	8	了	4.74654
23	9	。	1.7558
24	1	那	10.5927
24	2	个	6.11826
24	3	朋友	9.97932
24	4	开	13.9643
24	5	的	4.44046
24	6	工厂	11.7522
24	7	倒闭	17.6254
24	8	了	4.68784
24	9	。	2.12964
25	1	那	10.5927
25	2	张	10.6257
25	3	孩子	9.35401
25	4	照	14.1272
25	5	的	9.35904
25	6	照片	13.5458
25	7	丢	19.1448
25	8	了	2.24691
25	9	。	3.76037
26	1	那	10.5927
26	2	个	6.11826
26	3	孩子	6.40266
26	4	照	14.0639
26	5	的	9.2301
26	6	照片	14.6849
26	7	丢	18.9203
26	8	了	2.09867
26	9	。	3.83703
27	1	那	10.5927
27	2	台	10.3975
27	3	老师	10.9756
27	4	用	8.52228
27	5	的	6.23746
27	6	手机	10.3032
27	7	很	8.83362
27	8	好用	14.2126
27	9	。	2.00707
28	1	那	10.5927
28	2	个	6.11826
28	3	老师	11.6255
28	4	用	8.41157
28	5	的	6.02105
28	6	手机	10.5858
28	7	很	8.38219
28	8	好用	14.4898
28	9	。	2.59987
29	1	那	10.5927
29	2	朵	15.8775
29	3	邻居	14.0046
29	4	种	15.5632
29	5	的	1.87507
29	6	花	11.4687
29	7	很	6.8733
29	8	好看	10.1849
29	9	。	1.76084
30	1	那	10.5927
30	2	个	6.11826
30	3	邻居	11.6562
30	4	种	15.4939
30	5	的	4.66021
30	6	花	12.606
30	7	很	7.1099
30	8	好看	10.6513
30	9	。	1.95113
31	1	那	10.5927
31	2	台	10.3975
31	3	科学家	11.5685
31	4	做	11.3765
31	5	的	4.13618
31	6	电视	9.23688
31	7	坏	18.901
31	8	了	3.46228
31	9	。	1.75872
32	1	那	10.5927
32	2	个	6.11826
32	3	科学家	12.3827
32	4	做	10.6912
32	5	的	3.66824
32	6	电视	11.1193
32	7	坏	17.8036
32	8	了	4.19448
32	9	。	2.71604
33	1	那	10.5927
33	2	栋	10.3343
33	3	男人	14.8692
33	4	买	9.01146
33	5	的	1.0137
33	6	房子	6.65625
33	7	起火	14.7571
33	8	了	5.96964
33	9	。	1.61076
34	1	那	10.5927
34	2	个	6.11826
34	3	男人	9.35634
34	4	买	11.6486
34	5	的	5.56089
34	6	房子	7.75544
34	7	起火	15.1009
34	8	了	5.42563
34	9	。	1.67869
35	1	那	10.5927
35	2	条	7.39212
35	3	朋友	15.6368
35	4	给	7.81003
35	5	的	4.31298
35	6	建议	10.7967
35	7	很	7.82197
35	8	真诚	14.3105
35	9	。	2.23869
36	1	那	10.5927
36	2	个	6.11826
36	3	朋友	9.97932
36	4	给	7.97714
36	5	的	6.67638
36	6	建议	10.977
36	7	很	7.73453
36	8	真诚	14.2299
36	9	。	2.19237
37	1	那	10.5927
37	2	支	8.96282
37	3	老师	13.583
37	4	用	8.18971
37	5	的	6.35031
37	6	笔	14.51
37	7	坏	16.9016
37	8	了	1.11581
37	9	。	2.55467
38	1	那	10.5927
38	2	个	6.11826
38	3	老师	11.6255
38	4	用	8.41157
38	5	的	6.02105
38	6	笔	14.1422
38	7	坏	16.9273
38	8	了	1.19998
38	9	。	2.59433
39	1	那	10.5927
39	2	只	7.59125
39	3	女人	11.6756
39	4	丢	16.1635
39	5	的	6.04434
39	6	鞋子	15.3003
39	7	被	7.42411
39	8	找到	11.6685
39	9	了	1.82066
39	10	。	3.91582
40	1	那	10.5927
40	2	个	6.11826
40	3	女人	9.32452
40	4	丢	16.8766
40	5	的	6.03616
40	6	鞋子	15.4154
40	7	被	7.84524
40	8	找到	11.1805
40	9	了	1.81569
40	10	。	3.89817
41	1	那	10.5927
41	2	条	7.39212
41	3	邻居	13.6502
41	4	养	13.6096
41	5	的	3.13226
41	6	狗	8.32968
41	7	生病	13.9456
41	8	了	3.00853
41	9	。	2.31414
42	1	那	10.5927
42	2	个	6.11826
42	3	邻居	11.6562
42	4	养	14.8151
42	5	的	5.181
42	6	狗	9.1299
42	7	生病	13.7975
42	8	了	2.73698
42	9	。	2.65383
43	1	那	10.5927
43	2	座	8.84893
43	3	老人	10.9004
43	4	修	15.2813
43	5	的	9.66318
43	6	桥	13.4792
43	7	帮助	13.9443
43	8	了	6.13188
43	9	我	5.27015
43	10	。	3.16671
44	1	那	10.5927
44	2	个	6.11826
44	3	老人	12.7543
44	4	修	16.3489
44	5	的	9.45633
44	6	桥	14.7556
44	7	帮助	13.6761
44	8	了	5.8873
44	9	我	4.2915
44	10	。	3.5434
45	1	那	10.5927
45	2	篇	7.81793
45	3	学生	15.3207
45	4	准备	10.6365
45	5	的	6.06873
45	6	报告	8.22995
45	7	感动	18.9547
45	8	了	1.98525
45	9	我	5.80046
45	10	。	2.91338
46	1	那	10.5927
46	2	个	6.11826
46	3	学生	10.5432
46	4	准备	10.1006
46	5	的	9.71453
46	6	报告	12.0407
46	7	感动	18.8746
46	8	了	2.0455
46	9	我	5.24774
46	10	。	3.47827
47	1	那	10.5927
47	2	封	11.2251
47	3	朋友	12.5376
47	4	写	9.38812
47	5	的	1.33046
47	6	信	5.2571
47	7	很	8.26167
47	8	真诚	14.1679
47	9	。	2.76208
48	1	那	10.5927
48	2	个	6.11826
48	3	朋友	9.97932
48	4	写	10.2058
48	5	的	3.70027
48	6	信	8.32362
48	7	很	7.93391
48	8	真诚	14.1445
48	9	。	3.30003
49	1	那	10.5927
49	2	堂	15.7303
49	3	老师	10.2624
49	4	教	12.0813
49	5	的	7.88382
49	6	课	9.70248
49	7	获	15.791
49	8	了	2.08272
49	9	奖	10.6334
49	10	。	0.716578
50	1	那	10.5927
50	2	个	6.11826
50	3	老师	11.6255
50	4	教	11.7491
50	5	的	6.90842
50	6	课	10.6582
50	7	获	16.0532
50	8	了	2.14724
50	9	奖	10.2407
50	10	。	1.86641
51	1	那	10.5927
51	2	块	10.9877
51	3	医生	15.2953
51	4	喜欢	8.38844
51	5	的	3.0245
51	6	手表	13.7355
51	7	丢	17.3801
51	8	了	1.42452
51	9	。	3.86293
52	1	那	10.5927
52	2	个	6.11826
52	3	医生	13.6016
52	4	喜欢	9.07437
52	5	的	4.38576
52	6	手表	14.5521
52	7	丢	17.3596
52	8	了	1.42313
52	9	。	3.92451
53	1	那	10.5927
53	2	篇	7.81793
53	3	学生	15.3207
53	4	写	10.0117
53	5	的	2.43144
53	6	论文	4.59549
53	7	感动	19.0378
53	8	了	1.29889
53	9	我	6.53818
53	10	。	2.79968
54	1	那	10.5927
54	2	个	6.11826
54	3	学生	10.5432
54	4	写	10.7995
54	5	的	5.62182
54	6	论文	6.62206
54	7	感动	18.827
54	8	了	1.42873
54	9	我	6.01768
54	10	。	3.09922
55	1	那	10.5927
55	2	场	7.11427
55	3	演员	18.2262
55	4	准备	10.2481
55	5	的	2.68114
55	6	表演	7.1043
55	7	很	8.56599
55	8	受	9.48815
55	9	欢迎	4.23131
55	10	。	1.15388
56	1	那	10.5927
56	2	个	6.11826
56	3	演员	16.5365
56	4	准备	9.81515
56	5	的	4.60135
56	6	表演	10.2495
56	7	很	9.5548
56	8	受	9.11102
56	9	欢迎	4.3949
56	10	。	1.48511
57	1	那	10.5927
57	2	间	12.7508
57	3	警察	15.4565
