sentence_id	token_id	token	surprisal
1	1	随着	8.36069
1	2	当地	8.63409
1	3	的	2.90433
1	4	政府	10.525
1	5	发展	5.60258
1	6	，	0.622147
1	7	经济	7.57112
1	8	变	15.0079
1	9	好	9.50777
1	10	了	6.22595
1	11	。	2.07045
2	1	随着	8.36069
2	2	当地	8.63409
2	3	的	2.90433
2	4	政府	10.525
2	5	发展	5.60258
2	6	。	15.0559
3	1	随着	8.36069
3	2	庞大	15.2208
3	3	的	0.764216
3	4	互联网	15.4457
3	5	的	1.73069
3	6	出现	8.05199
3	7	，	0.106916
3	8	生活	13.218
3	9	质量	5.91525
3	10	提高	7.64101
3	11	了	1.71194
3	12	。	3.47257
4	1	随着	8.36069
4	2	庞大	15.2208
4	3	的	0.764216
4	4	互联网	15.4457
4	5	的	1.73069
4	6	出现	8.05199
4	7	。	14.7526
5	1	随着	8.36069
5	2	一阵	19.5003
5	3	很	9.58945
5	4	响	19.0397
5	5	的	0.0984983
5	6	铃声	19.6352
5	7	，	0.338381
5	8	火车	15.7931
5	9	开	11.0734
5	10	了	1.57734
5	11	。	9.11662
6	1	随着	8.36069
6	2	一阵	19.5003
6	3	很	9.58945
6	4	响	19.0397
6	5	的	0.0984983
6	6	铃声	19.6352
6	7	。	15.6321
7	1	随着	8.36069
7	2	不	14.0356
7	3	自信	16.4885
7	4	的	0.408574
7	5	他	14.2567
7	6	的	0.907493
7	7	年龄	12.3256
7	8	增长	10.0601
7	9	，	1.32017
7	10	他	5.3527
7	11	更	8.12931
7	12	有	4.86075
7	13	自信	11.0659
7	14	了	10.0521
7	15	。	0.221406
8	1	随着	8.36069
8	2	不	14.0356
8	3	自信	16.4885
8	4	的	0.408574
8	5	他	14.2567
8	6	的	0.907493
8	7	年龄	12.3256
8	8	增长	10.0601
8	9	。	14.7816
9	1	随着	8.36069
9	2	寒冷	19.3293
9	3	的	0.230117
9	4	冬天	13.3814
9	5	的	2.7651
9	6	到来	5.52721
9	7	，	0.0145126
9	8	树木	14.4289
9	9	凋零	19.8504
9	10	了	3.15973
9	11	。	6.58764
10	1	随着	8.36069
10	2	寒冷	19.3293
10	3	的	0.230117
10	4	冬天	13.3814
10	5	的	2.7651
10	6	到来	5.52721
10	7	。	14.9447
11	1	随着	8.36069
11	2	新兴	13.4327
11	3	的	3.15673
11	4	科技	6.28168
11	5	发展	7.36609
11	6	，	4.91186
11	7	电脑	13.5357
11	8	功能	12.106
11	9	变得	11.3032
11	10	更	4.86071
11	11	多	5.1572
11	12	了	7.92129
11	13	。	0.317849
12	1	随着	8.36069
