sentence_id	token_id	token	surprisal
1	1	他	4.12783
1	2	喜欢	13.7077
1	3	那	9.89946
1	4	家	8.41292
1	5	亲切	15.8922
1	6	的	0.332573
1	7	老板	11.2305
1	8	投资	14.821
1	9	的	9.37226
1	10	饭店	15.2434
1	11	。	1.15343
2	1	他	4.12783
2	2	喜欢	13.7077
2	3	那	9.89946
2	4	个	4.06344
2	5	亲切	14.5766
2	6	的	0.262226
2	7	老板	14.5906
2	8	投资	16.0908
2	9	的	9.29449
2	10	饭店	16.3731
2	11	。	1.29957
3	1	她	7.06943
3	2	在	4.76832
3	3	看	12.1627
3	4	那	9.4158
3	5	幅	7.56511
3	6	聪明	14.611
3	7	的	0.774815
3	8	朋友	13.046
3	9	喜欢	17.9763
3	10	的	11.3298
3	11	画	10.7957
3	12	。	16.1034
4	1	她	7.06943
4	2	在	4.76832
4	3	看	12.1627
4	4	那	9.4158
4	5	个	3.9612
4	6	聪明	14.2381
4	7	的	0.249265
4	8	朋友	7.79327
4	9	喜欢	18.1661
4	10	的	11.3904
4	11	画	12.3357
4	12	。	16.4149
5	1	我	7.89858
5	2	欣赏	14.6452
5	3	那	10.1968
5	4	件	5.32389
5	5	细心	14.7018
5	6	的	0.130719
5	7	老师	12.2233
5	8	收藏	18.1456
5	9	的	9.8028
5	10	艺术品	16.7563
5	11	。	1.96638
6	1	我	7.89858
6	2	欣赏	14.6452
6	3	那	10.1968
6	4	个	3.59506
6	5	细心	14.3965
6	6	的	0.12845
6	7	老师	10.975
6	8	收藏	18.4439
6	9	的	9.83988
6	10	艺术品	16.7673
6	11	。	2.43863
7	1	他	4.12783
7	2	打	15.6963
7	3	了	2.33574
7	4	那	10.1738
7	5	只	9.53236
7	6	负责	14.5825
7	7	的	4.70894
7	8	店长	25.9276
7	9	喜欢	16.7258
7	10	的	1.43383
7	11	宠物	14.5265
7	12	。	11.6232
8	1	他	4.12783
8	2	打	15.6963
8	3	了	2.33574
8	4	那	10.1738
8	5	个	5.22573
8	6	负责	15.8547
8	7	的	3.89934
8	8	店长	25.9557
8	9	喜欢	16.5771
8	10	的	1.55294
8	11	宠物	14.7947
8	12	。	11.6642
9	1	我	7.89858
9	2	在	5.69188
9	3	思念	17.337
9	4	那	9.00436
9	5	首	14.0993
9	6	有名	11.9405
9	7	的	0.103416
9	8	明星	11.4491
9	9	唱	14.6172
9	10	的	9.30034
9	11	歌	9.12594
9	12	。	1.31856
10	1	我	7.89858
10	2	在	5.69188
10	3	思念	17.337
10	4	那	9.00436
10	5	个	3.07858
10	6	有名	12.7394
10	7	的	0.0851142
10	8	明星	10.6488
10	9	唱	15.3522
10	10	的	9.35999
10	11	歌	9.92048
10	12	。	1.57584
11	1	她	7.06943
11	2	拜访	17.2216
11	3	了	0.975564
11	4	那	9.67527
11	5	所	7.35335
11	6	富有	12.9423
11	7	的	8.62964
11	8	老人	8.91963
11	9	去	11.347
11	10	的	11.0841
11	11	学校	11.4933
11	12	。	0.946835
12	1	她	7.06943
12	2	拜访	17.2216
12	3	了	0.975564
12	4	那	9.67527
12	5	个	4.74409
12	6	富有	12.7023
12	7	的	7.75546
12	8	老人	9.7021
12	9	去	11.1807
12	10	的	10.9202
12	11	学校	11.4377
12	12	。	0.977151
13	1	他	4.12783
13	2	检查	20.0072
13	3	了	2.01603
13	4	那	11.5538
13	5	件	4.74896
