sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	家	9.21012
1	3	我	8.1294
1	4	采访	13.647
1	5	过	5.2556
1	6	的	1.19791
1	7	老板	11.3588
1	8	投资	15.8272
1	9	的	8.15869
1	10	饭店	21.5252
1	11	很	8.88092
1	12	受	9.5789
1	13	欢迎	3.00462
1	14	。	4.37912
2	1	那	7.49349
2	2	个	6.91274
2	3	我	8.62208
2	4	采访	11.9013
2	5	过	5.1941
2	6	的	1.10818
2	7	老板	12.7568
2	8	投资	16.2504
2	9	的	7.8857
2	10	饭店	22.416
2	11	很	9.15714
2	12	受	9.70982
2	13	欢迎	2.91645
2	14	。	4.81507
3	1	那	7.49349
3	2	幅	12.0445
3	3	我	8.63498
3	4	介绍	14.28
3	5	的	1.15704
3	6	朋友	7.04213
3	7	喜欢	11.7131
3	8	的	11.989
3	9	画	16.075
3	10	吸引	17.7617
3	11	了	4.71684
3	12	我	5.21932
3	13	。	2.80198
4	1	那	7.49349
4	2	个	6.91274
4	3	我	8.62208
4	4	介绍	13.6664
4	5	的	1.09194
4	6	朋友	8.65228
4	7	喜欢	11.6881
4	8	的	11.7761
4	9	画	17.0021
4	10	吸引	17.846
4	11	了	4.79423
4	12	我	5.15437
4	13	。	2.8653
5	1	那	7.49349
5	2	件	8.19546
5	3	我	10.7558
5	4	喜欢	5.67603
5	5	的	0.905494
5	6	老师	10.1348
5	7	收藏	20.3391
5	8	的	4.13321
5	9	艺术品	21.9162
5	10	获	16.6768
5	11	了	2.31933
5	12	奖	10.3744
5	13	。	0.931201
6	1	那	7.49349
6	2	个	6.91274
6	3	我	8.62208
6	4	喜欢	7.20452
6	5	的	1.24832
6	6	老师	9.06112
6	7	收藏	19.9659
6	8	的	4.43738
6	9	艺术品	22.0574
6	10	获	17.4234
6	11	了	2.39545
6	12	奖	10.1777
6	13	。	0.815536
7	1	那	7.49349
7	2	只	6.84145
7	3	我	13.5719
7	4	认识	9.70574
7	5	的	0.771361
7	6	店长	20.366
7	7	喜欢	13.0337
7	8	的	3.9848
7	9	宠物	15.4093
7	10	生病	16.9215
7	11	了	2.23942
7	12	。	2.23724
8	1	那	7.49349
8	2	个	6.91274
8	3	我	8.62208
8	4	认识	9.75646
8	5	的	0.764466
8	6	店长	22.1213
8	7	喜欢	13.0294
8	8	的	2.61561
8	9	宠物	16.7571
8	10	生病	17.2399
8	11	了	2.3838
8	12	。	2.22107
9	1	那	7.49349
9	2	首	11.3522
9	3	我	8.56461
9	4	见	9.77944
9	5	过	3.21046
9	6	的	2.21581
9	7	明星	12.0698
