sentence_id	token_id	token	surprisal
1	1	记者	8.41261
1	2	采访	7.25276
1	3	了	0.510523
1	4	研发	19.4995
1	5	帮助	18.2751
1	6	老人	11.0681
1	7	的	4.05782
1	8	产品	13.3451
1	9	。	0.462525
2	1	记者	8.41261
2	2	采访	7.25276
2	3	了	0.510523
2	4	研发	19.4995
2	5	帮助	18.2751
2	6	老人	11.0681
2	7	的	4.05782
2	8	产品	13.3451
2	9	的	4.75116
2	10	科学家	8.68837
2	11	。	0.152352
3	1	他	4.12783
3	2	认识	17.0641
3	3	了	3.09048
3	4	写	15.9274
3	5	介绍	14.6828
3	6	名人	14.9429
3	7	的	2.02011
3	8	书	8.58806
3	9	。	1.11368
4	1	他	4.12783
4	2	认识	17.0641
4	3	了	3.09048
4	4	写	15.9274
4	5	介绍	14.6828
4	6	名人	14.9429
4	7	的	2.02011
4	8	书	8.58806
4	9	的	10.3433
4	10	老师	14.1081
4	11	。	0.410302
5	1	他	4.12783
5	2	拍	18.2906
5	3	下	14.378
5	4	了	2.59196
5	5	获得	15.0039
5	6	代表	15.9142
5	7	实力	12.4418
5	8	的	0.848936
5	9	大奖	16.1802
5	10	。	12.005
6	1	他	4.12783
6	2	拍	18.2906
6	3	下	14.378
6	4	了	2.59196
6	5	获得	15.0039
6	6	代表	15.9142
6	7	实力	12.4418
6	8	的	0.848936
6	9	大奖	16.1802
6	10	的	0.425502
6	11	艺术品	12.7514
6	12	。	9.82638
7	1	我们	8.17582
7	2	参加	11.5614
7	3	了	1.4609
7	4	吸引	14.0907
7	5	学习	12.935
7	6	历史	13.4629
7	7	的	0.870064
7	8	学生	14.1837
7	9	。	1.96908
8	1	我们	8.17582
8	2	参加	11.5614
8	3	了	1.4609
8	4	吸引	14.0907
8	5	学习	12.935
8	6	历史	13.4629
8	7	的	0.870064
8	8	学生	14.1837
8	9	的	10.0566
8	10	活动	4.16622
8	11	。	0.202588
9	1	他	4.12783
9	2	想起	17.61
9	3	了	3.07247
9	4	写	13.135
9	5	过	3.33361
9	6	宣传	14.6573
9	7	环保	16.793
9	8	的	1.34305
9	9	歌	11.8269
9	10	。	2.48732
10	1	他	4.12783
10	2	想起	17.61
10	3	了	3.07247
10	4	写	13.135
10	5	过	3.33361
10	6	宣传	14.6573
10	7	环保	16.793
10	8	的	1.34305
10	9	歌	11.8269
10	10	的	3.62965
10	11	同学	11.1555
10	12	。	6.87015
11	1	司机	17.4617
11	2	启动	17.7593
11	3	了	2.58634
11	4	装有	13.6764
11	5	支持	16.0479
11	6	互联网	15.0173
11	7	功能	8.73965
11	8	的	0.0416248
11	9	音响	12.5458
11	10	。	11.8405
12	1	司机	17.4617
12	2	启动	17.7593
12	3	了	2.58634
12	4	装有	13.6764
12	5	支持	16.0479
12	6	互联网	15.0173
12	7	功能	8.73965
12	8	的	0.0416248
12	9	音响	12.5458
12	10	的	5.48848
12	11	车	8.36379
12	12	。	10.2023
13	1	爸爸	14.7685
13	2	买	9.24332
13	3	了	1.54646
13	4	带	13.3821
13	5	配备	24.0794
13	6	保险	16.5627
13	7	的	0.930046
13	8	家具	12.5035
13	9	。	1.76651
14	1	爸爸	14.7685
14	2	买	9.24332
14	3	了	1.54646
14	4	带	13.3821
14	5	配备	24.0794
14	6	保险	16.5627
14	7	的	0.930046
14	8	家具	12.5035
14	9	的	3.0599
14	10	房子	5.59425
14	11	。	0.485283
15	1	他	4.12783
15	2	损失	19.9231
15	3	了	1.27009
15	4	买	14.833
15	5	治疗	15.4668
15	6	疾病	10.916
15	7	的	0.22547
15	8	药	11.9705
15	9	。	2.17423
16	1	他	4.12783
16	2	损失	19.9231
16	3	了	1.27009
16	4	买	14.833
16	5	治疗	15.4668
16	6	疾病	10.916
16	7	的	0.22547
16	8	药	11.9705
16	9	的	3.16627
16	10	现金	11.6821
16	11	。	0.36963
17	1	我	7.89858
17	2	拜访	16.2876
17	3	了	1.33694
17	4	去	13.3117
17	5	过	7.55516
17	6	支持	15.1337
17	7	贸易	13.3173
17	8	的	1.13453
17	9	中国	4.34461
17	10	。	3.91863
18	1	我	7.89858
18	2	拜访	16.2876
18	3	了	1.33694
18	4	去	13.3117
18	5	过	7.55516
18	6	支持	15.1337
18	7	贸易	13.3173
18	8	的	1.13453
18	9	中国	4.34461
18	10	的	5.7005
18	11	邻居	11.2386
18	12	。	1.3159
19	1	爷爷	19.3161
19	2	中止	20.7483
19	3	了	1.98318
19	4	引发	18.3249
19	5	伤害	12.5402
19	6	亲情	18.0649
19	7	的	0.421825
19	8	争吵	13.6441
19	9	。	1.04226
20	1	爷爷	19.3161
20	2	中止	20.7483
20	3	了	1.98318
20	4	引发	18.3249
20	5	伤害	12.5402
20	6	亲情	18.0649
20	7	的	0.421825
20	8	争吵	13.6441
20	9	的	9.15522
20	10	谈话	9.4601
20	11	。	0.713545
21	1	她	7.06943
21	2	提到	12.9271
21	3	了	3.79587
21	4	看	12.7109
21	5	着	5.36914
21	6	带来	16.5381
21	7	欢乐	13.6326
21	8	的	0.295627
21	9	电视	12.7354
21	10	。	3.28597
22	1	她	7.06943
22	2	提到	12.9271
22	3	了	3.79587
22	4	看	12.7109
22	5	着	5.36914
22	6	带来	16.5381
22	7	欢乐	13.6326
22	8	的	0.295627
22	9	电视	12.7354
22	10	的	12.3998
22	11	女儿	12.1728
22	12	。	0.878528
23	1	医生	14.6502
23	2	表扬	17.1153
23	3	了	2.01535
23	4	帮助	13.6721
23	5	种	16.6229
23	6	菜	9.16746
23	7	的	0.494556
23	8	老人	11.4853
23	9	。	2.33638
24	1	医生	14.6502
24	2	表扬	17.1153
24	3	了	2.01535
24	4	帮助	13.6721
24	5	种	16.6229
24	6	菜	9.16746
24	7	的	0.494556
24	8	老人	11.4853
24	9	的	6.92598
24	10	孩子	5.63979
24	11	。	1.90605
25	1	她	7.06943
25	2	介绍	7.72689
25	3	了	3.28451
25	4	生产	13.4224
25	5	装有	20.1169
25	6	音响	10.773
25	7	的	1.21151
25	8	电视	11.3912
25	9	。	11.6383
26	1	她	7.06943
26	2	介绍	7.72689
26	3	了	3.28451
26	4	生产	13.4224
26	5	装有	20.1169
26	6	音响	10.773
26	7	的	1.21151
26	8	电视	11.3912
26	9	的	2.65256
26	10	工厂	13.3571
26	11	。	0.68013
27	1	我	7.89858
27	2	洗	18.7079
27	3	了	2.86999
27	4	陪伴	17.2677
27	5	过	6.59042
27	6	卖	14.6639
27	7	衣服	8.45168
27	8	的	0.0612839
27	9	母亲	10.2784
27	10	。	3.81064
28	1	我	7.89858
28	2	洗	18.7079
28	3	了	2.86999
28	4	陪伴	17.2677
28	5	过	6.59042
28	6	卖	14.6639
28	7	衣服	8.45168
28	8	的	0.0612839
28	9	母亲	10.2784
28	10	的	0.994191
28	11	衣服	8.49065
28	12	。	2.51865
29	1	学生	14.6157
29	2	们	18.4319
29	3	写	12.0872
29	4	着	2.12549
29	5	困扰	17.9896
29	6	努力	18.5994
29	7	学习	6.50762
29	8	的	4.25584
29	9	他们	14.6799
29	10	。	12.3785
30	1	学生	14.6157
30	2	们	18.4319
30	3	写	12.0872
30	4	着	2.12549
30	5	困扰	17.9896
30	6	努力	18.5994
30	7	学习	6.50762
30	8	的	4.25584
30	9	他们	14.6799
30	10	的	1.46144
30	11	作业	16.3815
30	12	。	3.89373
31	1	店长	20.4876
31	2	拿	13.5364
31	3	着	1.87983
31	4	开	15.9734
31	5	通往	23.9285
31	6	仓库	13.2263
31	7	的	0.283923
31	8	大门	11.1608
31	9	。	9.59357
32	1	店长	20.4876
32	2	拿	13.5364
32	3	着	1.87983
32	4	开	15.9734
32	5	通往	23.9285
32	6	仓库	13.2263
32	7	的	0.283923
32	8	大门	11.1608
32	9	的	11.0856
32	10	钥匙	15.6965
32	11	。	3.51695
33	1	有人	13.7652
33	2	听	11.5955
33	3	着	6.90033
33	4	打扰	20.034
33	5	了	8.31592
33	6	写	12.8936
33	7	书	7.82001
33	8	的	0.611061
33	9	邻居	13.3593
33	10	。	9.17242
34	1	有人	13.7652
34	2	听	11.5955
34	3	着	6.90033
34	4	打扰	20.034
34	5	了	8.31592
34	6	写	12.8936
34	7	书	7.82001
34	8	的	0.611061
34	9	邻居	13.3593
34	10	的	3.87039
34	11	音乐	9.91791
34	12	。	10.4914
35	1	我	7.89858
35	2	观察	15.5829
35	3	着	6.32518
35	4	经营	17.0626
35	5	卖	14.2157
35	6	食品	8.39131
35	7	的	0.893589
35	8	商店	9.83082
35	9	。	1.57982
36	1	我	7.89858
36	2	观察	15.5829
36	3	着	6.32518
36	4	经营	17.0626
36	5	卖	14.2157
36	6	食品	8.39131
36	7	的	0.893589
36	8	商店	9.83082
36	9	的	8.98278
36	10	男人	14.9327
36	11	。	1.78221
37	1	学生	14.6157
37	2	们	18.4319
37	3	读	13.6869
37	4	着	2.80125
37	5	描述	16.5098
37	6	启发	17.1128
37	7	读者	15.2066
37	8	的	2.31405
37	9	故事	7.56082
37	10	。	2.65043
38	1	学生	14.6157
38	2	们	18.4319
38	3	读	13.6869
38	4	着	2.80125
38	5	描述	16.5098
38	6	启发	17.1128
38	7	读者	15.2066
38	8	的	2.31405
38	9	故事	7.56082
38	10	的	12.1677
38	11	书	7.92273
38	12	。	0.720754
39	1	教练	13.1622
39	2	创办	18.1314
39	3	过	7.07303
39	4	教	18.2402
39	5	治疗	13.1778
39	6	失眠	21.5712
39	7	的	2.41555
39	8	动作	10.659
39	9	。	10.387
40	1	教练	13.1622
40	2	创办	18.1314
40	3	过	7.07303
40	4	教	18.2402
40	5	治疗	13.1778
40	6	失眠	21.5712
40	7	的	2.41555
40	8	动作	10.659
40	9	的	9.43161
40	10	健身房	17.0691
40	11	。	8.95104
41	1	我	7.89858
41	2	喜欢	8.71825
41	3	过	8.0624
41	4	给	10.3857
41	5	我	3.22456
41	6	克服	16.4887
41	7	困难	5.07156
41	8	的	3.8281
41	9	信心	8.75889
41	10	。	0.898932
42	1	我	7.89858
42	2	喜欢	8.71825
42	3	过	8.0624
42	4	给	10.3857
42	5	我	3.22456
42	6	克服	16.4887
42	7	困难	5.07156
42	8	的	3.8281
42	9	信心	8.75889
42	10	的	11.2396
42	11	音乐	13.6606
42	12	。	1.20937
43	1	她	7.06943
43	2	开	15.5566
43	3	过	3.92712
43	4	容纳	18.5624
43	5	很多	12.2029
43	6	学习	12.1269
43	7	舞蹈	11.3182
43	8	的	0.241185
43	9	人	5.75457
43	10	。	3.36893
44	1	她	7.06943
44	2	开	15.5566
44	3	过	3.92712
44	4	容纳	18.5624
44	5	很多	12.2029
44	6	学习	12.1269
44	7	舞蹈	11.3182
44	8	的	0.241185
44	9	人	5.75457
44	10	的	1.48538
44	11	车	13.4606
44	12	。	2.37297
45	1	他	4.12783
45	2	修理	24.3099
45	3	过	5.58511
45	4	丢失	19.2607
45	5	了	4.98848
45	6	处理	16.9488
45	7	程序	9.33265
45	8	的	0.750468
45	9	芯片	10.938
45	10	。	2.76943
46	1	他	4.12783
46	2	修理	24.3099
46	3	过	5.58511
46	4	丢失	19.2607
46	5	了	4.98848
46	6	处理	16.9488
46	7	程序	9.33265
46	8	的	0.750468
46	9	芯片	10.938
46	10	的	10.7658
46	11	电脑	9.43513
46	12	。	3.23031
47	1	他	4.12783
47	2	讲	13.0006
47	3	过	4.81242
47	4	介绍	12.7156
47	5	写	16.7542
47	6	诗	13.9727
47	7	的	0.708549
