sentence_id	token_id	token	surprisal
1	1	记者	9.97222
1	2	采访	7.48111
1	3	了	4.15997
1	4	研发	17.6214
1	5	产品	10.1646
1	6	。	5.28722
2	1	记者	9.97222
2	2	采访	7.48111
2	3	了	4.15997
2	4	研发	17.6214
2	5	产品	10.1646
2	6	的	0.873195
2	7	科学家	11.2774
2	8	。	1.30765
3	1	他	5.65708
3	2	认识	11.7736
3	3	了	3.58441
3	4	写	14.3289
3	5	书	7.14919
3	6	。	11.0227
4	1	他	5.65708
4	2	认识	11.7736
4	3	了	3.58441
4	4	写	14.3289
4	5	书	7.14919
4	6	的	0.408078
4	7	老师	8.93342
4	8	。	2.54095
5	1	他	5.65708
5	2	拍	13.9347
5	3	下	13.4584
5	4	了	4.93887
5	5	获得	14.4075
5	6	大奖	12.0879
5	7	。	10.7447
6	1	他	5.65708
6	2	拍	13.9347
6	3	下	13.4584
6	4	了	4.93887
6	5	获得	14.4075
6	6	大奖	12.0879
6	7	的	0.146584
6	8	艺术品	16.6811
6	9	。	0.945712
7	1	我们	6.69848
7	2	参加	11.3406
7	3	了	1.5571
7	4	吸引	16.0608
7	5	学生	9.19251
7	6	。	12.9968
8	1	我们	6.69848
8	2	参加	11.3406
8	3	了	1.5571
8	4	吸引	16.0608
8	5	学生	9.19251
8	6	的	1.40883
8	7	活动	7.31749
8	8	。	1.36658
9	1	他	5.65708
9	2	想起	13.1613
9	3	了	1.01099
9	4	写	13.7828
9	5	过	4.62923
9	6	歌	12.1609
9	7	。	13.6089
10	1	他	5.65708
10	2	想起	13.1613
10	3	了	1.01099
10	4	写	13.7828
10	5	过	4.62923
10	6	歌	12.1609
10	7	的	0.36444
10	8	同学	12.2523
10	9	。	1.65881
11	1	司机	15.9385
11	2	启动	20.5199
11	3	了	2.23484
11	4	装有	16.6153
11	5	音响	13.1003
11	6	。	19.3124
12	1	司机	15.9385
12	2	启动	20.5199
12	3	了	2.23484
12	4	装有	16.6153
12	5	音响	13.1003
12	6	的	4.00986
12	7	车	8.85759
12	8	。	3.31704
13	1	爸爸	11.7089
13	2	买	10.5662
13	3	了	3.30396
13	4	带	12.3222
13	5	家具	19.8928
13	6	。	9.70156
14	1	爸爸	11.7089
14	2	买	10.5662
14	3	了	3.30396
14	4	带	12.3222
14	5	家具	19.8928
14	6	的	0.572451
14	7	房子	5.53845
14	8	。	4.0753
15	1	他	5.65708
15	2	损失	19.6313
15	3	了	2.04404
15	4	买	17.6222
15	5	药	8.49943
15	6	。	6.49003
16	1	他	5.65708
16	2	损失	19.6313
16	3	了	2.04404
16	4	买	17.6222
16	5	药	8.49943
16	6	的	0.635082
16	7	现金	7.49871
16	8	。	1.38919
17	1	我	5.25122
17	2	拜访	14.8789
17	3	了	2.20001
17	4	去	12.7333
17	5	过	6.48999
17	6	中国	6.88412
17	7	。	4.23253
18	1	我	5.25122
18	2	拜访	14.8789
18	3	了	2.20001
18	4	去	12.7333
18	5	过	6.48999
18	6	中国	6.88412
18	7	的	0.950349
18	8	邻居	11.2191
18	9	。	2.88972
19	1	爷爷	15.6413
19	2	中止	19.5995
19	3	了	1.8389
19	4	引发	15.2455
19	5	争吵	13.977
19	6	。	3.87106
20	1	爷爷	15.6413
20	2	中止	19.5995
20	3	了	1.8389
20	4	引发	15.2455
20	5	争吵	13.977
20	6	的	0.630724
20	7	谈话	14.4331
20	8	。	0.82519
21	1	她	8.15034
21	2	提到	10.8582
21	3	了	4.37095
21	4	看	12.047
21	5	着	3.23699
21	6	电视	9.92044
21	7	。	4.16595
22	1	她	8.15034
22	2	提到	10.8582
22	3	了	4.37095
22	4	看	12.047
22	5	着	3.23699
22	6	电视	9.92044
22	7	的	3.53805
22	8	女儿	11.108
22	9	。	2.3265
23	1	医生	13.5275
23	2	表扬	16.158
23	3	了	2.37279
23	4	帮助	12.8538
23	5	老人	12.7657
23	6	。	8.79682
24	1	医生	13.5275
24	2	表扬	16.158
24	3	了	2.37279
24	4	帮助	12.8538
24	5	老人	12.7657
24	6	的	2.26249
24	7	孩子	4.66067
24	8	。	6.44296
25	1	她	8.15034
25	2	介绍	11.324
25	3	了	1.75253
25	4	生产	14.1157
25	5	电视	12.7298
25	6	。	5.01481
26	1	她	8.15034
26	2	介绍	11.324
26	3	了	1.75253
26	4	生产	14.1157
26	5	电视	12.7298
26	6	的	3.1618
26	7	工厂	12.7791
26	8	。	1.54117
27	1	我	5.25122
27	2	洗	16.6639
27	3	了	1.53366
27	4	陪伴	18.0459
27	5	过	7.65152
27	6	母亲	9.68099
27	7	。	6.00758
28	1	我	5.25122
28	2	洗	16.6639
28	3	了	1.53366
28	4	陪伴	18.0459
28	5	过	7.65152
28	6	母亲	9.68099
28	7	的	0.195361
28	8	衣服	7.67758
28	9	。	1.80354
29	1	学生	12.7109
29	2	们	21.2437
29	3	写	14.065
29	4	着	1.98073
29	5	困扰	15.243
29	6	他们	7.35427
29	7	。	16.7759
30	1	学生	12.7109
30	2	们	21.2437
30	3	写	14.065
30	4	着	1.98073
30	5	困扰	15.243
30	6	他们	7.35427
30	7	的	3.44683
30	8	作业	15.4753
30	9	。	2.2202
31	1	店长	19.448
31	2	拿	13.1185
31	3	着	1.68681
31	4	开	14.1753
31	5	大门	14.9115
31	6	。	9.90312
32	1	店长	19.448
32	2	拿	13.1185
32	3	着	1.68681
32	4	开	14.1753
32	5	大门	14.9115
32	6	的	1.50053
32	7	钥匙	13.8091
32	8	。	10.3813
33	1	有人	15.7006
33	2	听	10.929
33	3	着	3.49981
33	4	打扰	17.3566
33	5	了	9.43391
33	6	邻居	14.5357
33	7	。	10.8064
34	1	有人	15.7006
34	2	听	10.929
34	3	着	3.49981
34	4	打扰	17.3566
34	5	了	9.43391
34	6	邻居	14.5357
34	7	的	1.07605
34	8	音乐	10.9203
34	9	。	6.31346
35	1	我	5.25122
35	2	观察	14.5719
35	3	着	9.48196
35	4	经营	15.2411
35	5	商店	12.5138
35	6	。	4.39667
36	1	我	5.25122
36	2	观察	14.5719
36	3	着	9.48196
36	4	经营	15.2411
36	5	商店	12.5138
36	6	的	0.501494
36	7	男人	13.5685
36	8	。	1.61767
37	1	学生	12.7109
37	2	们	21.2437
37	3	读	17.7214
37	4	着	3.34714
37	5	描述	15.4038
37	6	故事	7.30152
37	7	。	14.7966
38	1	学生	12.7109
38	2	们	21.2437
38	3	读	17.7214
38	4	着	3.34714
38	5	描述	15.4038
38	6	故事	7.30152
38	7	的	0.284929
38	8	书	7.29328
38	9	。	1.87634
39	1	教练	20.1753
39	2	创办	15.8772
39	3	过	8.80247
39	4	教	16.7817
39	5	动作	16.13
39	6	。	6.1626
40	1	教练	20.1753
40	2	创办	15.8772
40	3	过	8.80247
40	4	教	16.7817
40	5	动作	16.13
40	6	的	2.56638
40	7	健身房	19.8115
40	8	。	3.39502
41	1	我	5.25122
41	2	喜欢	7.62507
41	3	过	7.58635
41	4	给	11.2337
41	5	我	3.02
41	6	信心	12.953
41	7	。	3.5687
42	1	我	5.25122
42	2	喜欢	7.62507
42	3	过	7.58635
42	4	给	11.2337
42	5	我	3.02
42	6	信心	12.953
42	7	的	0.639805
42	8	音乐	12.1385
42	9	。	2.42583
43	1	她	8.15034
43	2	开	11.8822
43	3	过	4.57341
43	4	容纳	22.4272
43	5	很多	10.6615
43	6	人	2.94736
43	7	。	12.03
44	1	她	8.15034
44	2	开	11.8822
44	3	过	4.57341
44	4	容纳	22.4272
44	5	很多	10.6615
44	6	人	2.94736
44	7	的	0.159227
44	8	车	9.6839
44	9	。	2.00647
45	1	他	5.65708
45	2	修理	16.8291
45	3	过	6.36332
45	4	丢失	18.6057
45	5	了	3.02229
45	6	芯片	17.7968
45	7	。	2.07511
46	1	他	5.65708
46	2	修理	16.8291
46	3	过	6.36332
46	4	丢失	18.6057
46	5	了	3.02229
46	6	芯片	17.7968
46	7	的	2.33456
46	8	电脑	9.23952
46	9	。	3.68104
47	1	他	5.65708
47	2	讲	10.9476
47	3	过	3.44899
47	4	介绍	16.3207
47	5	画家	18.7305
47	6	。	5.47741
48	1	他	5.65708
48	2	讲	10.9476
48	3	过	3.44899
48	4	介绍	16.3207
48	5	画家	18.7305
48	6	的	2.65185
48	7	课	14.6359
48	8	。	1.7443
49	1	我	5.25122
49	2	邀请	16.1204
49	3	过	6.03472
49	4	喜欢	15.1382
49	5	明星	14.1667
49	6	。	13.0826
50	1	我	5.25122
50	2	邀请	16.1204
50	3	过	6.03472
50	4	喜欢	15.1382
50	5	明星	14.1667
50	6	的	0.338493
50	7	朋友	5.81903
50	8	。	2.03328
51	1	她	8.15034
51	2	申请	13.447
51	3	过	8.88489
51	4	减轻	14.7596
51	5	负担	12.8279
51	6	。	2.54199
52	1	她	8.15034
52	2	申请	13.447
52	3	过	8.88489
52	4	减轻	14.7596
52	5	负担	12.8279
52	6	的	0.975004
52	7	奖金	13.496
52	8	。	3.03643
53	1	她	8.15034
53	2	去	9.76766
53	3	买	8.47438
53	4	带来	17.9214
53	5	好运	10.9759
53	6	。	2.59897
54	1	她	8.15034
54	2	去	9.76766
54	3	买	8.47438
54	4	带来	17.9214
54	5	好运	10.9759
54	6	的	4.54764
54	7	礼物	10.742
54	8	。	8.66447
55	1	弟弟	16.6469
55	2	需要	13.7692
55	3	用于	13.6062
55	4	游戏	12.6532
55	5	。	4.63991
