sentence_id	token_id	token	surprisal
1	1	那	10.3293
1	2	家	7.15002
1	3	亲切	15.0246
1	4	的	0.181571
1	5	老板	10.6452
1	6	在	4.77177
1	7	市中心	13.5745
1	8	投资	12.7392
1	9	的	8.64999
1	10	饭店	12.2999
1	11	很	13.3385
1	12	受	6.21877
1	13	欢迎	2.35677
1	14	。	0.756407
2	1	那	10.3293
2	2	个	6.28495
2	3	亲切	15.7469
2	4	的	0.221763
2	5	老板	13.7111
2	6	在	4.99502
2	7	市中心	13.9444
2	8	投资	13.0644
2	9	的	8.66019
2	10	饭店	13.2458
2	11	很	12.9192
2	12	受	6.22633
2	13	欢迎	2.45561
2	14	。	0.78504
3	1	那	10.3293
3	2	幅	10.8501
3	3	聪明	13.8629
3	4	的	0.372463
3	5	朋友	12.2352
3	6	非常	10.3653
3	7	喜欢	6.38544
3	8	的	11.7506
3	9	画	12.2171
3	10	吸引	17.2824
3	11	了	1.8285
3	12	我	6.91847
3	13	。	1.90486
4	1	那	10.3293
4	2	个	6.28495
4	3	聪明	14.463
4	4	的	0.219014
4	5	朋友	6.03758
4	6	非常	9.50934
4	7	喜欢	6.19168
4	8	的	11.3618
4	9	画	13.461
4	10	吸引	17.5802
4	11	了	2.04389
4	12	我	6.4744
4	13	。	2.2782
5	1	那	10.3293
5	2	件	6.91922
5	3	细心	14.2202
5	4	的	0.327852
5	5	老师	8.51489
5	6	为	8.95126
5	7	他	5.44479
5	8	的	2.94731
5	9	收藏	12.7584
5	10	的	9.34284
5	11	艺术品	14.0871
5	12	获	13.2022
5	13	了	1.44904
5	14	奖	8.99309
5	15	。	0.137451
6	1	那	10.3293
6	2	个	6.28495
6	3	细心	14.1936
6	4	的	0.239267
6	5	老师	8.71319
6	6	为	9.54565
6	7	他	5.17476
6	8	的	3.05557
6	9	收藏	13.0578
6	10	的	9.08581
6	11	艺术品	14.1779
6	12	获	13.812
6	13	了	1.45905
6	14	奖	9.03714
6	15	。	0.153013
7	1	那	10.3293
7	2	只	8.42333
7	3	负责	14.3875
7	4	的	5.54922
7	5	店长	22.3806
7	6	特别	10.9279
7	7	喜欢	8.63386
7	8	的	10.5548
7	9	宠物	18.9521
7	10	生病	17.1065
7	11	了	4.44146
7	12	。	1.32732
8	1	那	10.3293
8	2	个	6.28495
8	3	负责	12.0989
8	4	的	4.52601
8	5	店长	23.1152
8	6	特别	11.1106
8	7	喜欢	9.53682
8	8	的	10.3836
8	9	宠物	19.4561
8	10	生病	18.8829
8	11	了	4.91155
8	12	。	1.74739
9	1	那	10.3293
9	2	首	13.4301
9	3	有名	13.6853
9	4	的	0.0778928
9	5	明星	13.1597
9	6	在	4.85921
9	7	商场	14.5847
9	8	唱	12.2196
9	9	的	7.99372
9	10	歌	10.5178
9	11	很	14.8947
9	12	好听	12.2633
9	13	。	0.505698
10	1	那	10.3293
10	2	个	6.28495
10	3	有名	12.4711
10	4	的	0.0497815
10	5	明星	12.7046
10	6	在	5.39978
10	7	商场	14.0564
10	8	唱	12.1326
10	9	的	7.68709
10	10	歌	11.1297
10	11	很	14.1791
10	12	好听	12.2822
10	13	。	0.645754
11	1	那	10.3293
11	2	所	10.5426
11	3	富有	13.8809
11	4	的	3.45565
11	5	老人	12.372
11	6	在	5.5546
11	7	冬天	15.841
11	8	去	10.3432
11	9	的	8.24207
11	10	学校	10.8348
11	11	关闭	20.789
11	12	了	2.74603
11	13	。	3.0279
12	1	那	10.3293
12	2	个	6.28495
12	3	富有	13.6579
12	4	的	7.38563
12	5	老人	12.4545
12	6	在	5.36311
12	7	冬天	15.691
12	8	去	10.3018
12	9	的	8.21054
12	10	学校	10.7328
12	11	关闭	20.9505
12	12	了	2.96912
12	13	。	2.72697
13	1	那	10.3293
13	2	件	6.91922
13	3	紧张	14.8228
13	4	的	0.315543
13	5	司机	16.2157
13	6	给	9.71894
13	7	朋友	10.2385
13	8	带	8.32539
13	9	的	13.3366
13	10	行李	16.0886
13	11	丢	14.4879
13	12	了	1.58256
13	13	。	4.8514
14	1	那	10.3293
14	2	个	6.28495
14	3	紧张	13.9634
14	4	的	0.595355
14	5	司机	16.3994
14	6	给	10.0563
14	7	朋友	10.5776
14	8	带	8.31529
14	9	的	13.421
14	10	行李	16.22
14	11	丢	14.7348
14	12	了	1.53085
14	13	。	4.98176
15	1	那	10.3293
15	2	本	9.17845
15	3	有名	13.129
15	4	的	0.0605677
15	5	作家	8.64525
15	6	为	7.51489
15	7	我	5.88975
15	8	写	6.03604
15	9	的	11.5807
15	10	书	7.48759
15	11	很	12.2487
15	12	受	7.95113
15	13	欢迎	3.10206
15	14	。	0.598788
16	1	那	10.3293
16	2	个	6.28495
16	3	有名	12.4711
16	4	的	0.0497815
16	5	作家	9.25203
16	6	为	7.8436
16	7	我	5.47744
16	8	写	6.07879
16	9	的	11.258
16	10	书	7.6085
16	11	很	12.1343
16	12	受	8.04647
16	13	欢迎	3.21318
16	14	。	0.793512
17	1	那	10.3293
17	2	辆	9.80383
17	3	熟悉	13.9863
17	4	的	3.78218
17	5	朋友	7.48879
17	6	昨天	11.9517
17	7	开	12.116
17	8	的	10.7531
17	9	车	7.50196
17	10	坏	17.3424
17	11	了	1.85864
17	12	。	3.66189
18	1	那	10.3293
18	2	个	6.28495
18	3	熟悉	13.8957
18	4	的	3.23937
18	5	朋友	6.88214
18	6	昨天	12.5995
18	7	开	13.0073
18	8	的	9.91957
18	9	车	10.183
18	10	坏	17.1919
18	11	了	2.25239
18	12	。	3.09745
19	1	那	10.3293
19	2	份	8.90756
19	3	淘气	19.979
19	4	的	1.65733
19	5	孩子	12.7586
19	6	在	5.44621
19	7	学校	9.33155
19	8	做	7.25681
19	9	的	8.16906
19	10	作业	13.2375
19	11	获	19.2839
19	12	了	3.90062
19	13	奖	9.7658
19	14	。	0.309661
20	1	那	10.3293
20	2	个	6.28495
20	3	淘气	17.8171
20	4	的	2.03142
20	5	孩子	7.05458
20	6	在	5.46915
20	7	学校	9.04919
20	8	做	7.00249
20	9	的	8.25453
20	10	作业	12.999
20	11	获	20.2266
20	12	了	3.56307
20	13	奖	10.2569
20	14	。	0.410925
21	1	那	10.3293
21	2	份	8.90756
21	3	严格	13.7369
21	4	的	0.655648
21	5	老板	19.5918
21	6	给	9.72578
21	7	员工	10.2132
21	8	制定	13.441
21	9	的	1.72165
21	10	合同	11.8406
21	11	到期	16.8244
21	12	了	7.70219
21	13	。	0.743503
22	1	那	10.3293
22	2	个	6.28495
22	3	严格	15.7492
22	4	的	0.84274
22	5	老板	16.2332
22	6	给	10.1225
22	7	员工	9.96741
22	8	制定	12.9195
22	9	的	13.1763
22	10	合同	12.6372
22	11	到期	19.7669
22	12	了	7.35758
22	13	。	1.96711
23	1	那	10.3293
23	2	间	12.381
23	3	负责	12.4274
23	4	的	4.39866
23	5	朋友	11.9671
23	6	在	5.54934
23	7	公园	12.8048
23	8	旁边	13.6093
23	9	开	10.038
23	10	的	9.24022
23	11	工厂	9.16736
23	12	倒闭	19.4878
23	13	了	4.92511
23	14	。	0.79293
24	1	那	10.3293
24	2	个	6.28495
24	3	负责	12.0989
24	4	的	4.52601
24	5	朋友	10.4842
24	6	在	5.65544
24	7	公园	12.7899
24	8	旁边	13.3701
24	9	开	10.2154
24	10	的	9.08113
24	11	工厂	9.36487
24	12	倒闭	19.4791
24	13	了	5.00032
24	14	。	1.17478
25	1	那	10.3293
25	2	张	8.40781
25	3	聪明	14.3579
25	4	的	0.453813
25	5	孩子	8.38331
25	6	在	5.27992
25	7	公园	11.3911
25	8	照	16.1763
25	9	的	10.5081
25	10	照片	10.6395
25	11	丢	18.8182
25	12	了	1.90595
25	13	。	3.56536
26	1	那	10.3293
26	2	个	6.28495
26	3	聪明	14.463
26	4	的	0.219014
26	5	孩子	5.77412
26	6	在	5.34843
26	7	公园	11.336
26	8	照	16.1943
26	9	的	10.281
26	10	照片	11.1484
26	11	丢	18.6823
26	12	了	1.84824
26	13	。	3.43932
27	1	那	10.3293
27	2	台	10.8855
27	3	负责	12.1957
27	4	的	5.09793
27	5	老师	12.9024
27	6	经常	10.0483
27	7	用	7.57543
27	8	的	9.34677
27	9	手机	12.7659
27	10	很	13.8214
27	11	好用	12.8802
27	12	。	1.76546
28	1	那	10.3293
28	2	个	6.28495
28	3	负责	12.0989
28	4	的	4.52601
28	5	老师	11.1059
28	6	经常	10.8473
28	7	用	8.00242
28	8	的	8.70919
28	9	手机	12.6887
28	10	很	13.4743
28	11	好用	13.3777
28	12	。	2.08168
29	1	那	10.3293
29	2	朵	16.1308
29	3	细心	15.9277
29	4	的	0.523893
29	5	邻居	11.8022
29	6	在	5.39238
29	7	家	12.0027
29	8	种	13.2719
29	9	的	8.54611
29	10	花	10.0859
29	11	很	12.8327
29	12	好看	11.1397
29	13	。	0.693024
30	1	那	10.3293
30	2	个	6.28495
30	3	细心	14.1936
30	4	的	0.239267
30	5	邻居	11.4857
30	6	在	5.82992
30	7	家	11.625
30	8	种	12.9515
30	9	的	7.75351
30	10	花	12.0446
30	11	很	12.2342
30	12	好看	11.5437
30	13	。	1.11935
