sentence_id	token_id	token	surprisal
1	1	那	7.24457066948
1	2	位	6.65064052038
1	3	教授	11.5179245634
1	4	写	12.5124376002
1	5	了	3.01986762614
1	6	令	12.2618678246
1	7	人	0.681358295982
1	8	感动	5.86126646057
1	9	的	3.29207947197
1	10	书	11.0806729064
1	11	的	4.1857367086
1	12	内容	10.2123336098
1	13	。	2.65837579704
2	1	那	7.24457066948
2	2	位	6.65064052038
2	3	教授	11.5179245634
2	4	打	12.001687051
2	5	了	3.56029950947
2	6	令	12.1585362084
2	7	人	0.681358295982
2	8	感动	5.86126646057
2	9	的	3.29207947197
2	10	书	11.0806729064
2	11	的	4.1857367086
2	12	内容	10.2123336098
2	13	。	2.65837579704
3	1	弟弟	17.2728785911
3	2	启动	14.0541555884
3	3	了	3.76727264749
3	4	配备	16.832266463
3	5	音响	18.1509934755
3	6	的	4.37585604748
3	7	车	11.915772194
3	8	。	3.668444827
4	1	弟弟	17.2728785911
4	2	认识	13.0392601243
4	3	了	4.98231772039
4	4	配备	16.832266463
4	5	音响	18.1509934755
4	6	的	4.37585604748
4	7	车	11.915772194
4	8	。	3.668444827
5	1	他	5.68454970002
5	2	拿	13.5627153789
5	3	了	3.56792024225
5	4	桌子	17.6982160987
5	5	上	4.86128323408
5	6	的	3.50829144202
5	7	吸引	15.8325385288
5	8	他	9.18321049029
5	9	目光	18.9156421659
5	10	的	5.64387638765
5	11	筷子	20.7859693641
5	12	。	6.17905515912
6	1	他	5.68454970002
6	2	听	14.3299285021
6	3	了	4.47395587466
6	4	桌子	17.7608608777
6	5	上	4.86128323408
6	6	的	3.50829144202
6	7	吸引	15.8325385288
6	8	他	9.18321049029
6	9	目光	18.9156421659
6	10	的	5.64387638765
6	11	筷子	20.7859693641
6	12	。	6.17905515912
7	1	她	8.22619364393
7	2	终于	14.027357381
7	3	实现	12.0570211709
7	4	了	3.0838823351
7	5	激励	14.9171891721
7	6	她	10.9658633465
7	7	学习	12.813593076
7	8	的	3.59913299861
7	9	理想	11.8676924901
7	10	。	4.34323163671
8	1	她	8.22619364393
8	2	终于	14.027357381
8	3	购买	12.883523154
8	4	了	4.18970872955
8	5	激励	15.0464325463
8	6	她	10.9658633465
8	7	学习	12.813593076
8	8	的	3.59913299861
8	9	理想	11.8676924901
8	10	。	4.34323163671
9	1	我	5.40226247496
9	2	修理	13.9707443616
9	3	了	5.75437018677
9	4	这个	7.49686763544
9	5	计算	14.3473606752
9	6	公式	7.30185678396
9	7	的	4.37585604748
9	8	电脑	11.2289245305
9	9	。	7.35262844145
10	1	我	5.40226247496
10	2	阅读	16.0073774489
10	3	了	7.78033094833
10	4	这个	7.49686763544
10	5	计算	14.3473606752
10	6	公式	7.30185678396
10	7	的	4.37585604748
10	8	电脑	11.2289245305
10	9	。	7.35262844145
11	1	我	5.40226247496
11	2	邀请	14.7313793023
11	3	过	10.4577686722
11	4	我	8.99675134104
11	5	的	4.34338098842
11	6	认识	12.5077786483
11	7	明星	15.1461623989
11	8	的	3.81900464849
11	9	朋友	9.92965235423
11	10	。	4.40927822999
12	1	我	5.40226247496
12	2	打开	13.9707443616
12	3	过	10.6524627297
12	4	我	8.99675134104
12	5	的	4.34338098842
12	6	认识	12.5077786483
12	7	明星	15.1461623989
12	8	的	3.81900464849
12	9	朋友	9.92965235423
12	10	。	4.40927822999
13	1	记者	9.64333460554
13	2	采访	7.13665706478
13	3	了	6.25045097294
13	4	获得	11.919590525
13	5	大奖	10.0762981259
13	6	的	4.37585604748
13	7	艺术家	13.6377679086
13	8	。	6.14210828359
14	1	记者	9.64333460554
14	2	制作	13.9887388168
14	3	了	4.83031262038
14	4	获得	11.919590525
14	5	大奖	10.0762981259
14	6	的	4.37585604748
14	7	艺术家	13.6377679086
14	8	。	6.14210828359
15	1	他	5.68454970002
15	2	参与	13.6929217451
15	3	了	5.47708226704
15	4	伤害	15.1289994733
15	5	了	4.8268248656
15	6	很多	8.24807430648
15	7	家庭	10.4855522571
15	8	的	3.69831590382
15	9	战争	11.0075230352
15	10	。	5.40041620357
16	1	他	5.68454970002
16	2	建造	12.5855903505
16	3	了	6.16757094434
16	4	伤害	14.9595064281
16	5	了	4.8268248656
16	6	很多	8.24807430648
16	7	家庭	10.4855522571
16	8	的	3.69831590382
16	9	战争	11.0075230352
16	10	。	5.40041620357
17	1	她	8.22619364393
17	2	批评	13.9453478821
17	3	了	8.30185723924
17	4	打	14.9595064281
17	5	游戏	9.82211397869
17	6	的	7.63889320898
17	7	儿子	10.8834569266
17	8	。	6.92255563404
18	1	她	8.22619364393
18	2	改正	19.3423880297
18	3	了	4.0539280724
18	4	打	14.9595064281
