sentence_id	token_id	token	surprisal
1	1	记者	7.99862
1	2	采访	9.03564
1	3	了	2.29515
1	4	研发	20.4167
1	5	产品	13.7176
1	6	并且	18.3847
1	7	获	13.0504
1	8	了	3.92142
1	9	奖	10.5028
1	10	。	0.792214
2	1	记者	7.99862
2	2	采访	9.03564
2	3	了	2.29515
2	4	研发	20.4167
2	5	产品	13.7176
2	6	并且	18.3847
2	7	获	13.0504
2	8	了	3.92142
2	9	奖	10.5028
2	10	的	2.95658
2	11	科学家	10.5744
2	12	。	7.82137
3	1	他	4.39796
3	2	认识	16.2428
3	3	了	4.17527
3	4	写	18.3517
3	5	书	8.23574
3	6	并且	12.8326
3	7	教	10.9929
3	8	课	16.8942
3	9	。	15.2287
4	1	他	4.39796
4	2	认识	16.2428
4	3	了	4.17527
4	4	写	18.3517
4	5	书	8.23574
4	6	并且	12.8326
4	7	教	10.9929
4	8	课	16.8942
4	9	的	0.524997
4	10	老师	11.0182
4	11	。	3.31874
5	1	他	4.39796
5	2	拍	18.088
5	3	下	14.3113
5	4	了	2.28973
5	5	获得	15.7285
5	6	大奖	11.9757
5	7	并且	16.0467
5	8	吸引	10.4978
5	9	游客	8.57539
5	10	。	2.07208
6	1	他	4.39796
6	2	拍	18.088
6	3	下	14.3113
6	4	了	2.28973
6	5	获得	15.7285
6	6	大奖	11.9757
6	7	并且	16.0467
6	8	吸引	10.4978
6	9	游客	8.57539
6	10	的	3.89173
6	11	艺术品	12.652
6	12	。	0.495702
7	1	我们	7.55796
7	2	参加	11.1383
7	3	了	1.3105
7	4	吸引	13.8826
7	5	学生	9.31801
7	6	并且	16.04
7	7	受到	11.0734
7	8	好评	7.38422
7	9	。	17.5417
8	1	我们	7.55796
8	2	参加	11.1383
8	3	了	1.3105
8	4	吸引	13.8826
8	5	学生	9.31801
8	6	并且	16.04
8	7	受到	11.0734
8	8	好评	7.38422
8	9	的	0.0643135
8	10	活动	1.89989
8	11	。	1.26765
9	1	他	4.39796
9	2	想起	17.5533
9	3	了	2.41813
9	4	写	13.4184
9	5	过	5.0555
9	6	歌	11.477
9	7	而且	22.4299
9	8	写	6.96609
9	9	过	4.56039
9	10	书	8.2712
9	11	。	14.4065
10	1	他	4.39796
10	2	想起	17.5533
10	3	了	2.41813
10	4	写	13.4184
10	5	过	5.0555
10	6	歌	11.477
